comment_id,author,text,like_count,reply_count,published_at,updated_at
UgzFtcRx_snu4qqmaAB4AaABAg,@BagOnly,"Who is winning???????
Like for Drake
Comment for K-Dot",8468,790,2024-05-04T06:08:14Z,2024-05-04T06:08:14Z
Ugzc5Srhx8p6qzdSjvB4AaABAg,@moxmann,Kendrick responded so fast I didnt know Drake had dropped a diss.,25857,495,2024-05-04T12:59:37Z,2024-05-04T12:59:37Z
UgxGl-mJYHo4mzjNy0R4AaABAg,@haynes966,Beat switches each time a different ghost writer verse starts 💀,11709,249,2024-05-04T08:41:23Z,2024-05-04T08:41:23Z
Ugw8sI-rRjgKXTUCBFV4AaABAg,@CaptainHalfsack,Kendrick had a diss ready for this song not even 30 minutes after it was released. We are witnessing some psychic bullshit ☠️,18271,281,2024-05-04T05:18:35Z,2024-05-04T05:18:35Z
Ugy9eR85YiXmgJBMbaR4AaABAg,@Greenham1988,Kendrick opened his mouth...and they handed him 5 Grammys.,1465,44,2025-02-03T04:11:02Z,2025-02-03T17:17:56Z
UgzkG6vRyh2O9FOlnJR4AaABAg,@eyenine,"Imagine sitting down in a group and writing this for hours, being so proud about it when it dropped only for it to be overshadowed a half hour later? Brutal.",8196,167,2024-05-04T17:04:41Z,2024-05-04T17:04:41Z
UgyRU5sH2RugrPSNal94AaABAg,@bhielathine,"ngl Drake's melody is fire

but Kendrick's lyrics are straight up murder",3545,82,2024-05-05T06:28:06Z,2024-05-05T06:28:14Z
Ugy42hExKA7j3e_7v_V4AaABAg,@jillformyvalentine,"Drake the type of guy to say ""no more mr. Nice Guy"" when he angry",5167,68,2024-05-04T20:47:51Z,2024-05-04T20:47:51Z
UgwqCFL52UQxSu73NRF4AaABAg,@ashleycampbell8380,"""Someone go hand him a grammy right now"" That aged well",590,14,2025-02-05T04:48:04Z,2025-02-05T04:48:04Z
UgxOO6_F87zF4zap9I94AaABAg,@Roofis201,J cole waking up in the morning lookin at the sun different after this $hit😂,1245,6,2024-05-04T15:38:01Z,2024-05-04T15:38:01Z
UgwKyCjEK_J1-IUTwgN4AaABAg,@JayDaniel-nx1ip,Kendrick is diabolical...he responded immediately by proving that he did indeed have moles...this whole thing has been unreal,9763,169,2024-05-04T07:01:16Z,2024-10-24T07:17:50Z
UgxHb2k7COBLJFcpNnh4AaABAg,@ZakariyyaMohammed-c7g,J Cole out in Hawaii looking at the sunset drinking Pina Coladas rn,3726,55,2024-05-04T20:28:14Z,2024-05-04T20:28:14Z
Ugzj3ahln61yBsk5gc14AaABAg,@donev_,"""Where is your uncle at , cause I wanna talk to the man of the house"" is funny af ngl",199,5,2024-10-06T22:41:25Z,2024-10-06T22:41:25Z
UgypNPdA0pWuzIKHxqN4AaABAg,@ericcartman5952,When the top comments for the new drake diss are hyping Kendricks new diss you know its over 😂😅,3794,64,2024-05-04T11:29:51Z,2024-05-04T11:29:51Z
Ugx-XBEJ5zsCI-YOXmp4AaABAg,@bcal8118,"Drake dude nobody cares that Kendrick is short, yo ass hung out with 5'4 Lil Wayne for years wtf are you talking about",8266,203,2024-05-04T06:08:55Z,2024-05-04T06:08:55Z
UgwYTtnMBeplU_krvGZ4AaABAg,@lexid7832,7 whole entire minutes just to get flamed an hour later is nasty work,127,0,2024-05-05T01:46:59Z,2024-05-05T01:46:59Z
UgyutWucxCnlCW6EWFl4AaABAg,@복숭아84849,Kendrick won all his grammy nominations. 😂😂,21,0,2025-02-03T05:52:19Z,2025-02-03T05:52:19Z
Ugyg9bhhpFaI_YM_R114AaABAg,@montoyaversion2,"Kendrick really said “I calculate your not as calculated, I can even predict your angle” in the first song then dropped a response to this in 30 mins. 😳😳",3297,31,2024-05-04T13:54:54Z,2024-05-04T13:54:54Z
UgzTp6ya1gMlRF0QfRd4AaABAg,@lmborfs8654,The fact that this song is in A minor is absolutely sending me. 😂,864,11,2024-05-05T14:24:45Z,2024-05-05T14:24:45Z
Ugzsl6wdzHgJjis4e1V4AaABAg,@theleonfam9291,I only knew drake dropped a diss because I heard Kendrick’s diss first lol,1161,7,2024-05-06T02:21:32Z,2024-05-06T02:21:32Z
Ugz_CvIluct3I1Lul7h4AaABAg,@juniegyllenhaal3937,Drop drop drop drop😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 the lawsuit brought me here,42,1,2025-01-17T08:18:42Z,2025-01-17T08:18:42Z
UgwYnrwnfMPR-h_0Ehx4AaABAg,@RogueJyn,Ive seen some Drake fans defending him on shit saying kendricks bullshitting but kendrick basically laid down everything everyone knew about drake since 2017 and threw in a couple bullets too. Nobody talks about that time Drake was hitting on Billie Eilish when she was still 17.,1402,48,2024-05-05T09:08:06Z,2024-05-05T09:08:06Z
UgyZNwztZ2kFNfJXdyJ4AaABAg,@ermmkatie,He was “trying to keep it pg” so his girlfriends could listen to it too,1965,41,2024-06-15T07:15:41Z,2024-06-15T07:15:41Z
UgykkfImRkyg1WI0JaB4AaABAg,@yeemaster1295,whoever writing these lyrics need they ears checked,2034,13,2024-05-04T04:58:06Z,2024-05-04T04:58:06Z
UgzDrryRDzr3ezzl9SN4AaABAg,@Greenham1988,They handed him 5 Grammys.,61,3,2025-02-03T04:10:16Z,2025-02-03T17:18:27Z
Ugx9ytQ9QZUDpa9c7ud4AaABAg,@jameshemingsen8552,I like how drake was like “where you at” to Kendrick and now Kendrick’s dropping a diss half an hour after drake releases his! 😂,152,0,2024-05-05T04:28:29Z,2024-05-05T04:28:29Z
UgzuREhvmDSmcIdLamt4AaABAg,@agentrocklee,Kendrick really pick him apart...he said he had a mole in his crew...then he drops Meet the Graham's mins later after Family Matters...thats cold 🥶🥶🥶,1043,20,2024-05-04T17:08:56Z,2024-05-04T17:08:56Z
