comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugy0FXgpj-hzM8s3fCJ4AaABAg,@BagOnly,This is WILDDDDDDDDD.... who is winnnning??????,943,303,2024-05-06T02:05:16Z,2024-05-06T02:05:16Z
UgyeAhEpkD1fRn68Ued4AaABAg,@I.hate.bugzzzs,“Felt good to pick up the pen “ yeah fuckin finally bro Jesus 😭😭 poor ghost writers hand must be cramping,3063,42,2024-05-06T02:49:14Z,2024-05-06T02:49:14Z
Ugy0SLYobOyhNFvGGXx4AaABAg,@MoizMN,“Liars Liars pants on fire” ahh diss,2049,15,2024-05-06T04:27:42Z,2024-05-06T04:27:42Z
UgwkJlUh9akDpZbsCyZ4AaABAg,@bluepika1618,3:07 all this time we were waiting for Kendrick to mention Millie just for Drake to brung it up when no one was saying it yet,803,13,2024-05-07T23:21:14Z,2024-05-07T23:21:40Z
UgzCi9z2gxfSVoEI1D54AaABAg,@steranruvalex473,"""If was a pedo i wouldve been arrested"" BRO WHATTT????? cmon Aubrey thats not how it works😮‍💨🤫🤫🤫",2870,105,2024-05-06T02:56:32Z,2024-05-06T02:56:32Z
UgwCEGx_9XcR3ykwO4Z4AaABAg,@cagowolfe4821,"""I don't even want to diss you anymore"" yeah i bet LMFAOOOO",1229,24,2024-05-06T05:20:32Z,2024-05-06T05:20:32Z
UgxlqA3Fn1Udkb7BTvF4AaABAg,@sidneymenifee9719,I’m back after all the lawsuits cause he claim he didn’t care but I guess he really did.,54,0,2024-11-29T20:18:28Z,2024-11-29T20:20:49Z
Ugy9waDfPy2SRYI6j6B4AaABAg,@evanhamilton467,Bro had to type this shit up so fast with all the spelling mistakes 😂,1285,10,2024-05-06T02:16:03Z,2024-05-06T02:16:03Z
Ugy-rbDwlLwu5iVdrxF4AaABAg,@Cookie_BK,This ain’t a diss song… This a Let Me Explain Myself Song!😂,1947,31,2024-05-06T06:22:40Z,2024-05-06T06:22:40Z
UgwuovIjOcyeYpEBpAx4AaABAg,@mchanel.,It’s giving “your momma is so fat…”,1045,19,2024-05-08T14:31:26Z,2024-05-08T14:31:26Z
Ugyb9FdURiMc177AjnB4AaABAg,@C.A.D.,Drake responds with a resounding 'nuh uh',928,10,2024-05-06T04:18:43Z,2024-05-06T04:18:43Z
Ugz-Pa0-TVzeSMK0XlB4AaABAg,@williamescobar3558,"This is getting deep bro , they gon end up talking about what the Area 51 is hiding",758,8,2024-05-06T02:56:04Z,2024-05-06T02:56:04Z
Ugy5lu03zWCYFgZtO1V4AaABAg,@hectorsoriano7353,“ This Epstein angle was the shit I expected “ sheeeh !! Aging like fine wine !!!,19,0,2026-01-31T20:41:54Z,2026-01-31T20:41:54Z
UgzdgoiUNJAoAh_tGlB4AaABAg,@boogeyman577,Kendrick gonna drop before im done listening,1951,23,2024-05-06T02:02:47Z,2024-05-06T02:02:47Z
Ugx0O8NAdKp17Buwz0l4AaABAg,@stinkeebalz2737,"""We gotta write a song about how we definitely don't diddle kids""",812,12,2024-05-06T02:54:11Z,2024-05-06T02:54:11Z
UgwagyFmM_pJ2xA7kqp4AaABAg,@OfficialDjAVE,No one else talks about how Drake claims Kendrick got his dirt and conspiracies of drake from TikToks but that bar only tells me that Drake spends time watching hate TikTok’s of himself. But of course he does. So in line with his character.,42,0,2024-06-25T12:32:10Z,2024-06-25T12:32:10Z
Ugzfk-WPt5B0rO1BGC94AaABAg,@Braxton96,This entire response has the same energy of when you corner a chronic manipulator in a conversation and they start scrambling. Everyone else is lying not me.,551,3,2024-05-06T16:34:56Z,2024-05-06T16:34:56Z
UgxAW4i9vQEbC4Wi6tJ4AaABAg,@kennyslg8914,At least Family Matters was a decent track. This sounds like hes exhausted from getting his ass whooped lmao,2169,55,2024-05-06T02:51:11Z,2024-05-06T02:51:11Z
UgxxB-HbtT4UwJNxZBd4AaABAg,@nekomiajibi4534,This ain’t rap. This is reading with music,58,1,2024-06-22T16:27:22Z,2024-06-22T16:27:22Z
Ugxbxw5gLGMb19d3P2p4AaABAg,@gettintotheshmoney,bro typed the fastest he ever has in his life to make this,3770,61,2024-05-06T02:07:49Z,2024-05-06T02:07:49Z
Ugz7_C8StzC64Kh7tnp4AaABAg,@ComfyModeState59,he ain’t even turn the stove on tbh,105,0,2024-05-06T04:24:50Z,2024-05-06T04:24:50Z
UgwLH40IPLEGHsMl9i14AaABAg,@MoonMoon-fx1op,His demeanor and tone sounds HELLA different than Family Matters. He got punched in the mouth and wasn't prepared for it.,353,22,2024-05-11T00:14:29Z,2024-05-11T00:14:29Z
UgwSJ1JlvvcTP94AEtp4AaABAg,@adotcdoy,"He went from, ""Drop, drop, drop, I was trying to keep it pg...""
to
""Stop, stop, stop, KD is being a meanie...""
🤣🤣😂😂😂🤣😂",429,5,2024-05-06T20:52:07Z,2024-05-06T20:52:07Z
Ugx9rigJx3TYcU8DqIl4AaABAg,@mateoburgos9818,WE GETTING OUT OF EPSTEIN ISLAND WITH THIS ONE 🔥🔥🔥🔥,94,0,2024-05-07T14:12:01Z,2024-05-07T14:12:01Z
UgwMj1KCquQq7m589kl4AaABAg,@vamer423,This is when you blunder your queen in chess and look at the opponent dead in the eyes like you planned a brilliant sacrifice,37,0,2024-11-29T16:09:32Z,2024-11-29T16:09:32Z
