comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwdyL2C6RTy90oe3DF4AaABAg,@BagOnly,"Who is winning?????
Like for Kendrick
Comment for Drizzy",43296,786,2024-05-04T06:08:53Z,2024-05-04T06:08:53Z
Ugw__96TCHZQNXV3f-t4AaABAg,@firstclassfrank,"This ain’t a diss. This is a masterclass, reality check, intervention, and ass whoopin in the form of a rap.",21908,111,2024-05-04T16:28:54Z,2024-05-04T16:28:54Z
UgyQsDLQRHO51ebdWFx4AaABAg,@Can678,Kendrick the type of guy to menacingly stare at Drake from across the street and disappear when the bus drives by.,20017,146,2024-05-05T06:40:19Z,2024-05-05T06:40:19Z
UgzAm4jqdsGSy2tebTh4AaABAg,@tnkboy89,"With an ""A"" minor key playing over and over in the background. Diabolical as fuck.",1715,12,2025-02-15T03:02:21Z,2025-02-15T03:02:21Z
UgzJ3fEcpMVeNY6wg6d4AaABAg,@jacquelinewarner-smith1770,"This track is a complete fatality—not only because it got so personal, but because Kendrick was compassionate. There's so much compassion here for Drake's kids and mother and even for Drake himself. Kendrick was like, ""Hey, I know life's tough, I really do, but your actions are still inexcusable."" I don't know, I can just really tell Kendrick's speaking from his soul.",322,1,2025-02-06T19:48:24Z,2025-02-06T19:48:24Z
Ugxwbs_to42setCmpPR4AaABAg,@QnarikMkhitaryan-n2z,"somebody said ""Adonis has a whole playlist to listen to when he gets grounded""😭😭",3111,12,2024-06-08T11:44:13Z,2024-06-08T11:44:13Z
Ugwncgd6mCkVvlkj8jF4AaABAg,@albertnicomedez,"Man straight up wrote a TIME CAPSULE for dude’s own neglected kids to listen to when they’re legal, what an absolute menace.",11918,24,2024-05-06T04:21:04Z,2024-05-06T04:21:04Z
UgzP3xxObhbY2yEAex54AaABAg,@ColumbusDog,I swear drake fans think a rap beef is about who has the catchier song,42649,791,2024-05-04T06:25:23Z,2024-05-04T06:25:23Z
UgwDS2OJfIUwU_pHcHt4AaABAg,@DarthJarJar6,"The worst part? 
He even sounds like hes worried for him",474,3,2025-02-22T16:24:01Z,2025-02-22T16:24:01Z
Ugx0Caea_gx6DbW3VUx4AaABAg,@Tarrouu,Drake wrote a song. Kendrick wrote a deep-dive character analysis.,319,0,2024-05-07T13:44:43Z,2024-05-07T13:44:43Z
UgxChHR1ODO9Zuft7nx4AaABAg,@StoicRealms-s9w,"""F**k a rap battle, this a long life battle with yourself ""😭 what a time to be alive",8965,17,2024-05-04T11:38:36Z,2024-05-04T11:38:36Z
Ugxw1TuM22nDS6fclB54AaABAg,@Sada-xg9ew,Man did not raise his voice but he was loud.,18916,41,2024-05-04T15:41:46Z,2024-05-04T15:41:46Z
UgyjGXXvAu_RYfLiMIZ4AaABAg,@vivacolombiaJesus1,This was without a doubt more brutal than Not Like Us.,342,2,2025-03-17T23:57:20Z,2025-03-17T23:57:20Z
UgzgMY6EYEW7fat0vFh4AaABAg,@user-hb1cw2ps8g,I love how he’s also comforting drakes kids and telling them not to be like them,3009,6,2024-05-11T20:38:22Z,2024-05-11T20:38:22Z
Ugw9dCkeyrhukIxNtF14AaABAg,@soyayax,"The baby girl part actually made me feel some time of way, the lyrics hit home",1686,20,2024-05-07T23:38:44Z,2024-05-10T12:10:17Z
Ugw1xwd-3BGcXOc3NmR4AaABAg,@JrobG,"If Adonis ever gets in a argument with his dad then he could just say “Maybe Kendrick was right”
Boom argument over",16744,72,2024-05-05T07:30:24Z,2024-05-05T07:30:24Z
UgyDXvo9NNNwUcHU5_Z4AaABAg,@vihaze6725,I love how he’s actually giving Drake’s kids solid fatherly advice. That must’ve stung Drake even more 💀,13,0,2025-02-06T04:08:41Z,2025-02-06T04:08:41Z
UgyK5ss-lGlrtBCbSSV4AaABAg,@sameoldtunes7110,"“Fuck a rap battle, this a long life battle with yourself” 

*damn*",6602,18,2024-05-05T00:42:18Z,2024-05-05T00:42:18Z
UgxIM_T3hzZuXmOIhUl4AaABAg,@FreedomFighter4Justice,He disses him while providing him and his family with knowledge and advice.  What a boss.,1938,3,2024-05-16T19:59:26Z,2024-05-16T19:59:26Z
UgySgxfcqD-PlCvYVNh4AaABAg,@trevorsamuel1114,"Drake: lol your short

Kendrick:",4355,15,2024-05-07T17:35:00Z,2024-05-07T17:35:00Z
UgwgGwz34OjHlu75S8t4AaABAg,@TYToriyama7YT,4:35 bro knew he won the beef in that moment,103,3,2025-10-11T00:56:49Z,2025-10-11T00:56:49Z
Ugw6zj3NzcQqaMMkAXJ4AaABAg,@aradieya,"somewhere, J.Cole is reconnecting w nature, feeling the sun on his face, touching the grass, and patting himself on the back for his foresight",6352,30,2024-05-13T18:09:12Z,2024-05-13T18:09:12Z
UgyMHYw1bFvViYM_wwN4AaABAg,@madisonsnell2358,"Kendrick didn’t even care to stay on beat, man was speaking straight from his SOULLL",5461,54,2024-05-08T12:50:37Z,2024-05-08T12:50:37Z
UgywSCgBteKUvgUM5N14AaABAg,@tajcee,"I’ve listened to this track an ungodly amount of times. This wasn’t just a diss, it was straight up character assassination.",5342,34,2024-05-05T06:09:27Z,2024-05-05T06:10:27Z
