comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwQFnbcvaQj7QuovJF4AaABAg,@BagOnly,😮😮😲,13691,268,2024-05-05T00:38:56Z,2024-05-05T00:38:56Z
UgxtO_Hv3yBSF4W7XWR4AaABAg,@lali6650,kendrick is like the quiet kid in the back of the class who knows everyones secrets,13833,70,2024-05-05T14:00:28Z,2024-05-05T14:00:28Z
UgwpQktvHMrwVAr83ad4AaABAg,@doc_2k25,went from 5 year breaks to dropping on the daily bro seriously hates drake 😭😭😭,42912,232,2024-05-05T00:36:55Z,2024-05-05T00:36:55Z
Ugz7q9Eg9UtKy--H7lV4AaABAg,@MrBubblecake,Never in my life have I seen a rapper completely destroy another rapper on a personal level while managing to provide a lesson in black history all in the same song,13665,193,2024-05-09T23:59:42Z,2024-05-10T00:00:11Z
UgzVyobTiF9qktXQAgJ4AaABAg,@SirGryphon,"Two rappers you never mess with- 
1. Eminem
2. Kendrick Lamar",1036,50,2025-12-29T14:57:50Z,2025-12-29T14:57:50Z
Ugxbyk5mJB3kJIpSZ854AaABAg,@spectral_gamer3145,this man is making a drake diss album 😭😭,53730,674,2024-05-05T00:41:45Z,2024-05-05T00:41:45Z
Ugzv7R0rX7X6YhIc21t4AaABAg,@yomatee,Cole is probably sitting on a bench next to his parked bike and thinking about how beautifully the birds are chirping,23771,118,2024-05-05T00:42:17Z,2024-05-05T00:42:17Z
UgwY0_BhvHwFLrjRGxR4AaABAg,@alvwig2489,Drake said “drop and give me 50” and Kendrick giving him 50 diss tracks 😂,14403,88,2024-05-05T01:01:52Z,2024-05-05T01:02:15Z
Ugx2wuVpx0GsHxQfOkR4AaABAg,@Ebony2485,In he Super Bowl he wasent lookin at the camera at all except for the part when it goes like “say drake I hate u like I’m young” while smiling😭✌️,170,4,2026-01-03T12:21:28Z,2026-01-03T12:21:28Z
Ugz_tiQCoG1bYSWxGjF4AaABAg,@erbsndspoices,"""Rabbit hole still deep, I can go further I promise"" - Kendrick really asking Drake to test him💀",4446,17,2024-05-05T05:32:37Z,2024-05-05T05:32:37Z
Ugztv5nuSZqFL6ellD94AaABAg,@ceecee1913,"J Cole definitely got the call

“Don’t come to school tomorrow” 😂",10640,74,2024-05-05T07:45:06Z,2024-05-05T07:45:06Z
UgxpYc0e-iUHDYQ8SyZ4AaABAg,@KarimJovian,"A few things I learned in life
1 -Pay your taxes
2 - Drink water
3 - Don't fuck with Kendrick",21631,341,2024-05-06T06:27:02Z,2024-05-06T06:27:02Z
Ugys1Mo7BjGWDLFxsKp4AaABAg,@DefinitelyNotReptilian,This song brought me to his music and I love it all. He treats his audience like they are intelligent adults who don't need to be spoon fed. My favorite lyricist since Gift of Gab.,138,0,2025-07-04T13:25:42Z,2025-07-04T13:25:42Z
UgyjdB27yH5N8t77VVB4AaABAg,@WeAllSayThat,Drake's official biggest contribution to hip-hop is making Kendrick drop tracks back-to-back.,4614,17,2024-05-12T10:01:40Z,2024-05-12T10:01:40Z
UgyUAzsdwF6ZshRxflZ4AaABAg,@bholapaul4981,"J Cole touches your heart, Kendrick touches your soul and Drake touches your kids.",3378,79,2024-05-23T17:26:23Z,2024-05-23T17:26:23Z
UgwDD5tnmZcDqoDD-0Z4AaABAg,@lorcraft1346,"Nah... Kendrick definitely called J Cole, and told him to get out the crossfire. That's the only reason he left the battle. This ain't rap no more this a funeral",9780,108,2024-05-05T00:40:53Z,2024-05-05T00:40:53Z
Ugxy4Bl7wRhvT7LifU54AaABAg,@MissShanelle,"A year later, still slaps and Drizzy still crying 😂😂",44,0,2025-12-14T12:30:40Z,2025-12-14T12:30:40Z
Ugzz6iVo0XJ0Uiu6rGd4AaABAg,@whooosss_amariaa,"""Tryna strike a chord and its probably a minor"" is harder than drake when he sees a minor 🔥🔥🔥",2019,27,2024-05-17T18:27:50Z,2024-05-17T18:27:50Z
