comment_id,author,text,like_count,reply_count,published_at,updated_at
UgzhjkF0NgyolIK0FPh4AaABAg,@allainataylor-dancy4674,Damn…the thing is Drake diss not even trash its just that Kendrick SNAPPED. Crazzzzyyy,5192,207,2024-05-01T00:03:02Z,2024-05-01T00:03:02Z
UgyQ0AJmAnc_hfeTmch4AaABAg,@ashiqinihsan2750,"Drake: metro shut yo ass up and make sum drums 

Metro: BBL drizzy",4418,45,2024-05-12T03:15:28Z,2024-05-12T03:15:28Z
UgygC3tADEL68DCSZ0B4AaABAg,@charlesa3505,"drake: personal attacks

kendrick: soul attacks",7865,89,2024-05-02T21:15:25Z,2024-05-02T21:15:25Z
UgyV10b4ZFsS-9Bhuj54AaABAg,@AshenFates,Crazy this was a actual good diss and bro got obliterated right after 😭,1462,71,2024-07-05T02:38:03Z,2024-07-05T02:38:03Z
Ugwd5bsp8NAzCpjHRwR4AaABAg,@Elgato1221,"This song is actually pretty dope, but Kendrick is just on another level. It wasn’t a contest in the end.",1684,83,2024-05-11T08:51:23Z,2024-05-11T08:51:23Z
UgwjyrjcjkzdPm5Jkht4AaABAg,@rashadmiddleton1493,"“I like Drake with the melodies, I don’t like Drake when he act tough”",2874,98,2024-05-01T12:44:13Z,2024-05-01T12:44:13Z
UgyIJhqZIvfYsuPypZh4AaABAg,@bigeuphoric517,Drake got all his ghostwriters on a comically large table with this one 🔥,954,27,2024-05-06T12:01:38Z,2024-05-06T12:01:38Z
UgzcTuW6mW-24r_Pf-B4AaABAg,@tvbuu,"Drake should've kept this energy the whole battle lol, he ate on this track",216,14,2025-05-29T18:08:14Z,2025-05-29T18:08:14Z
Ugyu9UZQBshpWg05bLp4AaABAg,@ronaldharris2543,"“I just got em done, don’t make me chip a nail” that’s just something I wouldn’t say in a diss track 😂",1610,39,2024-05-01T00:50:10Z,2024-05-01T00:50:10Z
UgzyQJBu4AaJEPj8pb94AaABAg,@mmr0221,"Drake the type of guy to lose his TV remote and say ""If I was the TV remote, where would I be?"" when looking for it.",2374,34,2024-05-15T13:36:50Z,2024-05-15T13:36:50Z
Ugxssoa7bWifK9AOXLB4AaABAg,@Nicksrgnt,"“Just got em done, don’t make me chip a nail” 

Bro needs to fire whichever ghost writer gave him that.",1496,34,2024-05-01T18:19:48Z,2024-05-01T18:19:48Z
UgziuvgD8x7DGmsFTYF4AaABAg,@neverbeganforme,3:32 I love the way he delivers this last line. So much contempt and betrayal in his voice,9,0,2025-06-14T02:04:52Z,2025-06-14T02:04:52Z
Ugx38sFBkrz1G8JNY1Z4AaABAg,@thedjdiamondmagician351,"Damn drake really is a master manipulater, he really got these people thinking that this shit hard 😭",2030,140,2024-05-01T21:47:49Z,2024-05-01T21:47:49Z
UgzBuCfmBJQFNj4ws5F4AaABAg,@mmr0221,Drake the type of guy that laughs with his bros and says “I really needed this guys”,817,6,2024-05-15T13:34:01Z,2024-05-15T13:34:01Z
UgymyelAZ9JnaDiIeVh4AaABAg,@TypeErrorDev,lol I’m not a Drake fan but that metro stray had me dying lmaoo,1531,22,2024-04-20T23:00:58Z,2024-04-20T23:00:58Z
Ugzz-aFgpEZphFkNn6h4AaABAg,@kingbafanyle4135,Feels like a couple months ago . This track is deep,2,0,2025-12-05T05:53:08Z,2025-12-05T05:53:08Z
Ugxuer2tukUe2JqMrNt4AaABAg,@brandonbrown650,Euphoria gang wya 😤,409,9,2024-05-01T03:11:56Z,2024-05-01T03:11:56Z
UgxKyROY65PPDdg4gxJ4AaABAg,@Kevin12321,"Hip hop is foreal comin back. I’m
Here for it",519,12,2024-04-19T16:08:19Z,2024-04-19T16:08:19Z
UgyBx7WEN9umH4inM-N4AaABAg,@mtyplaydabeatt,Who’s here after euphoria?💀,12395,765,2024-04-30T16:38:30Z,2024-04-30T16:38:30Z
UgzP6BlYkbIPAkMNuzF4AaABAg,@jerseydevil1,LMAO THIS THE BARK WIT THE LAWSUIT  😂😂😂😂😂😂😂😂 going out sad,88,6,2024-11-26T05:18:07Z,2024-11-26T05:18:07Z
UgyQL178qjmCKjIg0K14AaABAg,@lototoa97,Flow wise this is tough! But lyrically it's like soundcloud bars tbh 😂,827,26,2024-05-01T20:04:56Z,2024-05-01T20:05:08Z
Ugzf6Zpk_H7qObQrH_x4AaABAg,@jaredlangley4949,Who's here after Kendrick responded 😮,3809,212,2024-04-30T16:01:07Z,2024-04-30T16:01:07Z
UgxS8gKQ-nUAZXXr6qp4AaABAg,@Unknown_71-y2e,I aint even a drake fan but he went hard on this 💪🔥,186,15,2024-05-22T18:38:45Z,2024-05-22T18:38:45Z
Ugxs8KLGa3pAgUKUkDZ4AaABAg,@PrimeTNT23,Drake fr told metro to make some drums and now the whole damn community is tossing Drake into the trash and dissing the shit out of him,12,0,2024-07-25T15:21:38Z,2024-07-25T15:21:38Z
Ugxp-HHcdKiJe-v7WlF4AaABAg,@NicolasBocancea,“ this aint a 20v1 this a 1v20 if i gotta smack people that writes whit you”😂,1748,43,2024-04-30T16:18:32Z,2024-05-02T18:02:01Z
Ugw_8rvweaT3PY0rYyt4AaABAg,@wumplesgumples,Drake really the guy to say “whoopsie daisies” when he drop a plate,244,3,2024-04-30T16:34:51Z,2024-04-30T16:34:51Z
UgzIuKlAkLtJ3lHEbp94AaABAg,@billybalck,gotta respect the 1v20 🫡,970,138,2024-04-18T15:09:33Z,2024-04-18T15:09:33Z
UgxS6BA5NQzBa5r73MR4AaABAg,@Skibidi_slayer124,I just like this song,11,0,2024-08-26T21:55:55Z,2024-08-26T21:55:55Z
Ugx4P82zhmOSm2rtFqF4AaABAg,@rellgreen6558,He hired everyone in the game for this,159,3,2024-04-20T01:49:19Z,2024-04-20T01:49:19Z
UgyZMlQjNaCHqVuXcXp4AaABAg,@teew851,"This is my first time hearing this song, I heard Euphoria first and to say I’m underwhelmed is an understatement. Drake can’t hang with Kendrick lyrically.",426,17,2024-05-02T02:29:26Z,2024-05-02T02:29:26Z
Ugzi_mJVCcgToad9ZT14AaABAg,@destineealexis8045,Kendrick got this one beat with euphoria 👏💯,82,0,2024-05-01T15:01:39Z,2024-05-01T15:01:39Z
UgyVKbqnvc3VZn33FLF4AaABAg,@freestyleking12345,Drake snapped,3,0,2026-01-17T05:20:27Z,2026-01-17T05:20:27Z
Ugyip_A8hkPaSIbSG2R4AaABAg,@adrzl0026,This is literally every drake song in the past 10 years and dudes are loving it. This why I can't argue with his fans,210,11,2024-05-02T22:16:44Z,2024-05-02T22:16:44Z
UgxaBN0P9P74B-hS9Lp4AaABAg,@typerry33,So much has happened since this song i legit forgot it came out for a sec😂 what a time to be alive,20,0,2024-05-04T05:07:46Z,2024-05-04T05:07:46Z
UgxffvNqNDRViP7Y-7x4AaABAg,@wreniety,This is honestly... pretty good,85,10,2024-07-21T09:45:35Z,2024-07-21T09:45:35Z
UgyvmNzXCiFkYfgtI7R4AaABAg,@cruluis78,"Drake really said ""No more Mr. Nice guy""",478,11,2024-04-20T21:04:32Z,2024-04-20T21:04:32Z
