comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugz0I9KaksX3tNdsYo14AaABAg,@ihate_5x108,Kendrick got Drake to rap good again and Drake got Kendrick to drop consistently. All this shit is crazy good. Never been so excited for a rap beef ngl,216622,813,2024-05-04T03:18:32Z,2024-05-04T03:18:32Z
UgzKa8EeK1Osvy8oZf54AaABAg,@ramaadan1131,"Kendrick just opened his mouth, someone go hand him a grammy rn😭😭😭😭",13036,168,2025-02-02T22:12:16Z,2025-02-02T22:12:16Z
Ugz-qFXoUSeFxh96Vax4AaABAg,@jameellamar,Cole catching strays on everyone's diss track after apologizing has to be the funniest ongoing running gag since the beef started,169851,775,2024-05-04T03:48:41Z,2024-05-04T03:48:41Z
UgwKWjxdPfhorxXNTOV4AaABAg,@NoLifeShaq,Rip TAY Keith 🙏🏾,2256,19,2026-06-18T22:37:28Z,2026-06-18T22:37:28Z
UgzlStB2eqVa5NRP5Yd4AaABAg,@ejy123,This historic night was exactly *one* year ago. What a night for hip hop..,10183,69,2025-05-03T04:04:47Z,2025-05-03T04:04:47Z
UgxXvQKP5eqx0RRkxzN4AaABAg,@isaacfrancooo,this song still goes so crazy.,1483,15,2026-04-17T15:04:36Z,2026-04-17T15:04:36Z
UgxxKeoS9ZuezgSLGQ94AaABAg,@Exsire,"“Kendrick just opened his mouth”
Subtle Foreshadowing…",13527,165,2025-02-02T22:51:29Z,2025-02-02T22:51:29Z
UgxRq_AOeIlJqpqqDKl4AaABAg,@iamlockhard,"Aging : 10/10
Lyrics : 10/10
Subject Matter : 10/10
Truth : 9/10 
Beat : 10/10
Energy : 10/10
Direct Disses : 10/10
Replay Value : 10/10

🔥🔥🔥🔥🔥",11,0,2026-09-12T02:35:10Z,2026-09-12T02:35:10Z
Ugz8zerRehyGPrq5l2h4AaABAg,@DougBurnsRaps,Cole is that guy who recognizes the party is going to end in gunshots. He left at the right time,18082,199,2024-05-05T15:30:35Z,2024-05-05T15:30:35Z
Ugyeb-0aXnHTqcqBHV94AaABAg,@chloeeig,"""probably gotta have a kid again before you dropping anything again"" not him predicting rocky 😭",3825,41,2025-05-07T21:33:13Z,2025-05-12T22:11:52Z
UgwxLb1pNfVzNhSRMlR4AaABAg,@RealHellThief,"“Kendrick just opened his mouth, someone go hand him a Grammy right now” aged like fine wine 🍷",4260,56,2025-02-03T06:42:09Z,2025-02-03T06:42:09Z
UgxTGGRFmwLLn_CZcBJ4AaABAg,@AhmadAliamoga,Who’s here after two years 🔥,931,17,2026-05-04T00:50:57Z,2026-05-04T00:50:57Z
UgxyA-NiQMiUCrI9_3d4AaABAg,@CoverBrazilian,"If Drake keeps responding to every diss track, we gonna have two full length albums 😂.",36895,266,2024-05-05T01:53:45Z,2024-05-05T01:53:45Z
UgzCMLFPkBBLugiTzn14AaABAg,@Ericing20,"""your back up against the curb"" might be the funniest short bar so far LMFAOOOO",12179,168,2024-05-04T03:58:57Z,2024-05-04T03:58:57Z
Ugym82dfsb-du47nBpx4AaABAg,@chriscarsonmkandawire,"Mom: Stop changing the songs.

Me: It's the same song.",3676,17,2024-05-12T21:01:53Z,2024-05-12T21:01:53Z
Ugxg_ch2DssHRlnpHoV4AaABAg,@KaorukoWaguri-j4r,This song ironically is better than all of the songs dropped in the beef as it's the only one still relevant😭🙏,22,1,2026-09-12T11:24:24Z,2026-09-12T11:24:24Z
UgzbJ95CcYPZssspIoF4AaABAg,@JustUhhlilPrick,Rap beef nowadays got me feeling like I’m back in high school trying to keep up with the daily tea 😂😂,14071,45,2024-05-04T19:18:06Z,2024-05-04T19:18:06Z
Ugx90WcaPmEvbjYyPPF4AaABAg,@viber6248,Here after Kendrick won the Grammy for opening his mouth 😭,9146,87,2025-02-02T22:16:20Z,2025-02-02T22:16:42Z
Ugz0fBdjfJWx2leDLdZ4AaABAg,@Qranky,"""Kendrick just opened his mouth, someone go hand him a Grammy right now"" aged so well",5547,104,2025-02-28T03:12:39Z,2025-02-28T03:12:39Z
Ugx1mgEbhwVLmsly8fR4AaABAg,@Sora-sx9je,people still not even understaning how crazy of a disstrack this was,158,4,2026-07-30T00:17:17Z,2026-07-30T00:17:17Z
UgxexM1sgZLFw63a4vp4AaABAg,@Gumbino,"I don’t even care who wins this beef, keep all these bangers coming",72060,412,2024-05-04T03:32:52Z,2024-05-04T03:32:52Z
UgzMfN6PVAnBjpzYBk14AaABAg,@JesusPerez-pl5cx,Bruh “ he always said I over looked him I was staring straight” is fucking hilarious 😭😭😭,4382,76,2024-05-04T05:28:12Z,2024-05-04T05:28:12Z
Ugx-OTjgF7Bvg1dej7l4AaABAg,@younggjay23,Drake and Kendrick rap about Cole like they fighting for custody of him 😂😂😂😂,7772,67,2024-05-12T14:27:29Z,2024-05-12T14:27:29Z
UgxsO-y1ZtvTxHf592B4AaABAg,@ualreadynowhatitis,"It’s 2026. This song is massively underrated. Not the dissing, but the delivery and tone. The last song where he sounded like himself",21,0,2026-05-16T21:32:12Z,2026-05-16T21:32:12Z
Ugwbbsv-nlLCFG1XwNl4AaABAg,@m3kh123,earliest i’ve ever been to a drake song crazy,11333,126,2024-05-04T03:06:46Z,2024-05-04T03:06:46Z
UgwrscsO-FXUMko-Hb94AaABAg,@88Hurtz,"Drake hasn’t rapped this hard in a minute, what a time to be alive",5883,51,2024-05-06T00:50:51Z,2024-05-06T00:50:51Z
UgyyWDtQOErkbSyUsMF4AaABAg,@dudeytx,"""Rap beef is just men writting angry poems to each other""😭🙏🏿",3435,41,2024-05-04T03:51:39Z,2024-05-04T05:08:48Z
UgzpZ19BuezGl5HuR654AaABAg,@Go4TheHead,"That second beat, the flow, 20v1 - still goes hard !",37,0,2026-06-05T12:04:54Z,2026-06-05T12:04:54Z
Ugwk-b6ZfU6pKtx758F4AaABAg,@JackieZYT,"Rappers gotta start beefing more often, these go so hard 😭",24082,185,2024-05-04T05:27:56Z,2024-05-04T05:27:56Z
UgwNhu75vTVkYrdBVPN4AaABAg,@GamerLists,This beefs going to be feeding generations for years.,15727,78,2024-05-04T14:23:42Z,2024-05-04T14:23:42Z
Ugyad5uz5kY_j_GjNZZ4AaABAg,@devindaid7537,Drake actually rapping and Kendrick being active is what the rap game needed these past few years,9544,67,2024-05-04T04:09:57Z,2024-05-04T04:09:57Z
UgyYE4b-4dr64lR76Bh4AaABAg,@NewMichael2024,This is a great diss. Aging like fine wine 🍷,42,0,2026-09-06T06:47:28Z,2026-09-06T06:47:28Z
Ugyh5Wdbe6xhKMhrtxN4AaABAg,@MrDaddyBuff,The third part of this is hard as fuck.,1258,19,2026-03-06T06:57:54Z,2026-03-06T06:57:54Z
Ugx91wnBsjuDZI-taoZ4AaABAg,@JahTalksMusic,WHAT A TIME TO BE ALIVE 🙌,82054,463,2024-05-04T03:13:11Z,2024-05-04T03:13:11Z
UgzMER8EFoXywIi_6Nd4AaABAg,@Chilakilos,Never thought the rappers of my generation would still be beefing but I’m here for it 😂😂😂,4554,30,2024-05-04T03:15:13Z,2024-05-04T03:15:13Z
UgyKYyyimPhkCwmUkMZ4AaABAg,@ronaldmagagula1651,Drake went hard on this one.,14,0,2026-09-06T14:00:24Z,2026-09-06T14:00:24Z
Ugy3JjXRxaooih67FYN4AaABAg,@mapsinanutshell,"Kendrick, Kanye, and Drake dropping in the same week is insane.",25752,255,2024-05-04T03:09:53Z,2024-05-04T03:09:53Z
UgyDXYTpLC5VQH5LP914AaABAg,@Lucierlago,"""Rick reading my miranda rights"" is insane 🤣",1144,9,2024-05-08T18:53:25Z,2024-05-08T18:53:25Z
Ugw0QdPHQq9VQflapv14AaABAg,@JudeDude409,“Weeknd music getting played in places where the boys got a little more pride”😭😭😭,4850,87,2024-05-04T12:20:33Z,2024-05-04T12:20:33Z
UgxcbgtbwQt89xL5asB4AaABAg,@quar7,Drake disses hit harder after listening to Iceman 😂🔥,228,16,2026-05-29T07:14:37Z,2026-05-29T07:14:58Z
UgwawZOjxnX7aULxuIp4AaABAg,@乂,Drake and Kendrick got us all hooked with this beef 🤣,16813,90,2024-05-06T00:45:12Z,2024-05-06T00:45:28Z
Ugzhgyr5D0iXA8c76Z14AaABAg,@baylorbear10,the beef is never gonna end😭🙏🏽,24428,296,2024-05-04T03:07:01Z,2024-05-04T03:07:01Z
UgxESqgOK9oCVPL1HRV4AaABAg,@MikeColeWorld,This and Meet The Grahams dropping back to back was the wildest night in the history of Rap/ Hip Hop. It’s a moment that i will truly never forget.,2372,69,2025-01-01T18:11:49Z,2025-01-01T18:11:49Z
Ugz2xxmKbTCyhNPxZ9l4AaABAg,@def.not.jay777,2 years later and this song still hard,48,0,2026-05-15T00:35:54Z,2026-05-15T00:35:54Z
UgxYACA2nl9buvC4kmR4AaABAg,@stasiabeez0,"The ""Rick reading my miranda rights"" was hilarious , reminding us Rick Ross used to be a CO 🤣",1405,20,2024-05-04T17:02:52Z,2024-05-04T17:02:52Z
UgxLhDoGbxF_mIReaEd4AaABAg,@maxgoyco,"""Where is yo uncle at, cuz I gotta talk to the man of the house"" is WILD 😭 😭 😭🙏 🙏 🙏",2931,45,2024-05-04T14:09:27Z,2024-06-29T13:26:58Z
UgyMlChHbAyixlsPCg94AaABAg,@FredRTP96,wether you’re kendrick fan or drake fan. You got appreciative that this is what rap has needed in years.,5576,47,2024-05-04T03:32:47Z,2024-05-04T03:32:47Z
