comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugza2HV4Qv_uV-AWpA14AaABAg,@wg4053,J Cole riding his bike through Manhattan listening to Taylor Swift.,31537,129,2024-05-06T12:57:28Z,2024-05-06T12:57:28Z
UgxeoROeHzqaBKPMHyV4AaABAg,@anistonjadenpillay6786,"During this whole beef, j cole was chilling peacefully writing grippy tho",11065,25,2024-06-08T17:25:22Z,2024-06-08T17:25:22Z
Ugz54782sqCoYcvmmKl4AaABAg,@michaelboyle7281,"""Drake aint a name you'll see on a sex offender list"" - Aubrey Graham",3789,24,2024-05-07T15:02:18Z,2024-05-07T15:02:18Z
Ugx8Tl027JiqiIGMsT14AaABAg,@gohan_j,Now we know why this can't be found on Spotify,125,0,2026-01-31T14:08:57Z,2026-01-31T14:08:57Z
Ugz2aTPMWrR6E76bRGl4AaABAg,@-CAO-,at this point its a whole collab album between Drake and Kendrick 😂,140028,753,2024-05-06T01:20:37Z,2024-05-06T01:20:37Z
UgzPuup3Wwrr0hDpdYR4AaABAg,@summertime_magic,"Lawyer I — 
Lawyer I —
Lawyer ahh, wait a second",10526,152,2024-11-26T04:54:35Z,2024-11-26T04:54:35Z
UgxT76bVgcM3nD_c1gN4AaABAg,@elgodkiller,THESE RAPPERS GOT REACTORS WORKING OVER TIME,40839,178,2024-05-06T01:20:30Z,2024-05-06T01:20:30Z
UgwXpbka9eWwspDN78p4AaABAg,@soap8949,Drake defended himself from the nasty allegations and people laughed at him and now his biggest opps are documented on the Epstein files .,4783,124,2026-01-31T02:20:42Z,2026-01-31T02:20:42Z
Ugz6orrGUQdqmGxSzAJ4AaABAg,@Crave_,This beef will be generational 😭,141584,604,2024-05-06T01:34:56Z,2024-05-06T01:34:56Z
Ugy48uyTXA_HZ8oqmy14AaABAg,@Kennxist-ii7ru,"J Cole probably woke up this morning, stood on his front stoop wearing a bath robe and saying ""aaaahhhhh"" after taking that first sip of coffee and greeting the neighbors",30499,140,2024-05-06T01:31:43Z,2024-05-06T01:31:43Z
UgxQwkipY8b5XuVePkN4AaABAg,@GaSapienza,"Drake the type of dude to say ""felt good to get the pen working"" on a diss track",2214,31,2024-05-08T21:37:23Z,2024-05-08T21:37:23Z
UgySaPjU6TEum6NXR114AaABAg,@policemofo,"Touch My Body by Mariah Carey play
 you probably start reflectin
😂",11,0,2026-08-06T07:56:26Z,2026-08-06T07:56:26Z
Ugzx21A05SLYl16lqVB4AaABAg,@realadamsarr,J Cole in Switzerland sun gazing and smelling floribunda roses,51771,266,2024-05-06T01:32:15Z,2024-05-06T01:32:15Z
UgwwEi3wEXf1TQPYiZp4AaABAg,@Timothy,This whole beef has been the best part of 2024. They gonna make a movie about this 😂,78507,292,2024-05-06T02:03:43Z,2024-05-06T02:03:43Z
Ugy6Tebei7Ayd08JDnp4AaABAg,@chrisdagoat990,"Went from ""we fed you the information"" to ""this is slander and defamation"" 😂😂",2809,46,2025-01-20T03:41:55Z,2025-01-20T03:41:55Z
Ugys0tXGjL8U-NvYXyp4AaABAg,@TrueLifeHACKS.1,"The lyrics begin to reveal themselves over time periods
🍷",595,19,2026-02-01T00:08:17Z,2026-02-01T00:08:17Z
UgwKLMGG_xoXaRwwiVR4AaABAg,@ghanasyzn,"“This shit was some good exercise” 
*Drake says, before proceeding to open a case against Kendrick’s music*",4288,92,2024-12-26T18:46:19Z,2025-01-15T01:02:56Z
UgyBNcO-lpfeJeIKSEt4AaABAg,@1haunt,"I mean I guess dissing yourself on your own track is a way to stop Kendrick dropping, truly some 5D chess being played here",4861,52,2024-05-07T07:35:01Z,2024-05-07T07:35:01Z
Ugzcgs1ZCdtiPkRvvKB4AaABAg,@deadboylifex,We plotted for a week and then we fed you the litigation 😂,5698,44,2024-11-26T01:18:14Z,2024-11-26T01:18:14Z
UgyfQ3j0Y_QPLeI0E-l4AaABAg,@Plutoo91,This beef was legendary no lie.,76,4,2026-02-10T15:42:13Z,2026-02-10T15:42:13Z
UgyjhAe8QNDugqz3EPh4AaABAg,@LLPSY809,J Cole be wearing orange robes doing meditation in the mountains of Tibet rn,4028,24,2024-05-06T07:30:33Z,2024-05-06T07:30:33Z
UgwrKf0FsQxxN0a8p-14AaABAg,@ZoltanMarossy,"Kendrick: Weinstein 

Drake: nuh-uh...It’s Epstein",1647,11,2024-05-09T09:42:41Z,2024-05-09T09:43:02Z
UgxkuiaV0OqPtu3mrAJ4AaABAg,@InkyFirefly,"i am a war general seasoned in preparation
i called up my lawyers i'm suing for defamation",3972,70,2025-01-16T19:43:03Z,2025-01-16T19:43:03Z
UgzF5monRH7bx1x_Dr54AaABAg,@Lucy.Morningstars,Drake is the type of person who think he won an argument by commenting the last😭,3,0,2026-09-15T11:34:52Z,2026-09-15T11:34:52Z
Ugzb8cGZM146oRN_lzh4AaABAg,@chvrsifann7848,This beef will go down in history,22370,101,2024-05-06T01:22:59Z,2024-05-06T01:22:59Z
Ugw3TjBp2nODr_LwDVB4AaABAg,@dingohunter4114,"""There is no quicker way to get people to think you are diddling kids than writing a song about it"" - Mac ( It's Always Sunny in Philadelphia)",2284,24,2024-05-06T03:07:46Z,2024-05-06T03:07:46Z
UgyHCMWuUqJo56lI1QZ4AaABAg,@joeswagson,"""now kendrick cant make the heart pt 6!""
kendrick:",4696,94,2024-11-22T18:49:08Z,2024-11-22T18:49:08Z
Ugxff5oHSz8JM1doP_p4AaABAg,@VERSALPARYSS,Idc what anyone says till this day the end of this track shows how defeated drake was,6,0,2026-09-13T02:08:27Z,2026-09-13T02:08:27Z
UgxPpVXPoHlegqap3JF4AaABAg,@ontheinternet009,"""This epstein angle was the shit i expected"" knowing someone was gonna compare you to a child molester isn't a great thing to know",362,3,2024-05-06T02:16:51Z,2024-05-06T02:16:51Z
UgytV1d87ApLx6usdOV4AaABAg,@garrettlane4810,Lyrics begin to reveal themselves over time periods,3931,98,2025-08-06T17:52:17Z,2025-08-06T17:52:17Z
UgyIpN5vD-JXUL7KTL14AaABAg,@ThaZeddy,This rap beef got me refreshing Youtube every 5 min,3959,15,2024-05-06T02:02:16Z,2024-05-06T02:02:16Z
Ugxzk5y2odr1K20xK6p4AaABAg,@davonmcphee2623,I'll tell my kids this was my Micheal jackson of my generation,18,2,2026-08-31T21:09:27Z,2026-08-31T21:09:27Z
