comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugw2KmhqTDy4wvqBFet4AaABAg,@galexcia,The nostalgia is overwhelming,620,8,2026-05-23T13:49:21Z,2026-05-23T13:49:21Z
Ugx-X904gDK08NX1Pfh4AaABAg,@GumedeTW,Future is playing for both teams 🔥🤣🤣,1924,42,2026-05-18T21:40:08Z,2026-05-18T21:40:08Z
UgyoutueVj7p_h-ohaF4AaABAg,@mc_maseko2452,"Kendrick :"" It's Just Big ME""

J Cole :""Amen to that big bro""😭💔",33225,164,2024-04-08T23:10:32Z,2024-04-08T23:10:32Z
Ugy8NF9orm0AxKdzbrd4AaABAg,@YoungChove15,Been 2 years today and Drake still hasn't recovered from this,5409,197,2026-03-22T04:52:14Z,2026-03-22T04:52:14Z
UgzIdLf9IzV6pBgvw5l4AaABAg,@riimoya,the fact that Kendrick removed the copyright claims from all his diss tracks so the youtubers could keep the money they made from streaming all weekend. leaving the spoils of the war to streamers to benefit from.,17619,136,2024-05-08T19:40:35Z,2024-05-08T19:40:35Z
UgwegrBykG4yADqRVHJ4AaABAg,@kinglogomats.,Beat so hard it got its own verse😭,105276,914,2024-03-26T07:00:27Z,2024-03-26T07:00:27Z
Ugy-vj_ihvdM7c0tx0h4AaABAg,@krischaoschaoskris,"Kendrick made sure there could be no misunderstanding, cole and drake got no choice but to respond",50205,684,2024-03-22T05:11:16Z,2024-03-22T05:11:16Z
UgydQ685RG-c7XnqgQd4AaABAg,@dagimzer,here after drake barked for that girl,424,8,2026-08-11T14:40:30Z,2026-08-11T14:40:30Z
Ugxjwxzr26N9SUViyLd4AaABAg,@WorldsOnlyBlackStan,Ive never played a Future track so much. Thank Kendrick.,3305,62,2024-03-29T15:19:45Z,2024-03-29T15:19:45Z
UgyjRDb6Edtu6BLLbQ14AaABAg,@anthony_hsksnw,"Kendrick on his own songs: 😇
Ft.Kendrick: 😈",81091,461,2024-03-25T22:41:44Z,2024-03-25T22:41:44Z
UgxvGlxdWORJX5dyYXN4AaABAg,@southernlegends8594,I see why Travis wanted us to hear this song. Shit is actually crazy,47606,173,2024-03-22T18:21:35Z,2024-03-22T18:21:35Z
UgxIw4FGVuW-NvT8YFF4AaABAg,@Iasia.M,"""And your best work is a light pack""🔥🔥🔥🔥🔥",71,0,2026-03-25T00:38:34Z,2026-03-25T00:38:34Z
Ugw2SWKFb-vkpGu59nV4AaABAg,@Aquaz_world,Kendrick was like that and proved to us the whole year he like that,680,1,2025-02-14T06:02:59Z,2025-02-14T06:02:59Z
Ugz8aNm_KFdklZCk1mx4AaABAg,@Eli-ss9gj,Damn. Kendrick won. He really Like That.,6044,27,2024-05-09T23:42:33Z,2024-05-09T23:42:33Z
UgwAsCnOafp0reLTpHR4AaABAg,@TruthSeeker1017,This song is officially a part of HipHop history.,26132,104,2024-05-06T16:34:38Z,2024-05-06T16:34:38Z
UgwCnb0Qu0jG5s7QdMJ4AaABAg,@OneKeed-Pome,😭🎧Back here again 2 years later who with me 🔥,207,9,2026-05-29T04:50:04Z,2026-05-29T04:50:04Z
UgwU5zbMRw0dKOZ4vYx4AaABAg,@aianyowsp,Kendrick prove that he's like that🔥🔥,828,1,2024-05-11T02:36:20Z,2024-05-11T02:36:20Z
UgzhgnzndchD8w1MfyF4AaABAg,@Bobbyboyo95,One thing about Kendrick. He knows how to shake the rap game with a verse,14906,104,2024-03-22T21:13:56Z,2024-03-22T21:13:56Z
UgyncciHjC6fn8YDTFB4AaABAg,@kkarvv,The song that started it all 😭🙏,1508,14,2025-12-12T17:34:05Z,2025-12-12T17:34:05Z
UgzWTJH4tpc_bxFmJ8h4AaABAg,@1kinghosea420,Sometimes I just come back here and act like I don't know what's coming,37,0,2026-08-19T16:07:36Z,2026-08-19T16:07:36Z
UgxodnEvegDt0EcJ6h54AaABAg,@venom5809,Kendrick went hard as fuck with that verse.,369,0,2024-07-09T20:00:54Z,2024-07-09T20:00:54Z
UgxtK4pLunx5znWXaeF4AaABAg,@Toulousedits,"kendrick really came back, lit the rap multiverse on fire, revived it, and won 5 grammys for one banger. what a legend.",4500,44,2025-02-04T16:34:27Z,2025-02-04T16:34:27Z
UgxKjLWdIPpyXmS50Ux4AaABAg,@oishimari2495,Future and Kendrick is a DANGEROUS combination,930,4,2024-11-08T16:57:16Z,2024-11-08T16:57:16Z
UgyU2faZqV6QNei7Oi54AaABAg,@AQUATIC-740,This was the Declaration of War 📜✍️,80,0,2026-03-26T19:47:14Z,2026-03-26T19:47:14Z
