comment_id,author,text,like_count,reply_count,published_at,updated_at
UgyTVUqLKjyJgT3rill4AaABAg,@lifeisgood2596,This is the happiest you'll ever see Ish again 😂,349,7,2024-05-10T01:28:56Z,2024-05-10T01:28:56Z
Ugzh-1YtEwYm9dSZ7Tt4AaABAg,@ProdByGuyton2,Drake gonna drop a album “I Wouldn’t Trust Me Either” and it’s gonna be tough,1202,78,2024-04-29T20:12:48Z,2024-04-29T20:12:48Z
UgzbAP94fuyMchrxF954AaABAg,@geraldlawson4821,Everybody thought it was clever until Kendrick told yall not to 🤦🏽‍♂️,167,26,2025-01-13T07:39:18Z,2025-01-13T07:39:18Z
Ugw4Km4V05zRHB1JzzR4AaABAg,@MOTIFKEEM,Spinning back and reading these comments 😮‍💨,116,0,2024-05-30T15:00:37Z,2024-05-30T15:00:37Z
UgxKMVSSchhb8UWfiYB4AaABAg,@rvmrzzz,Fast forward 10 days lmaoooooooooo,133,6,2024-05-09T01:41:40Z,2024-05-09T01:41:40Z
UgxDORbyL4wzkuKaK_B4AaABAg,@VirgilRamos4444,“Drop drop drop drop” to “stop stop stop stop “ 😂😂😂,13,0,2025-04-22T06:29:29Z,2025-04-22T06:29:29Z
UgymFysOQy3XiWXWNnJ4AaABAg,@drearetas,Just look at ish he’s cheesing from ear to ear like a kid in the candy store 😂😂😂 he never had that energy for Kendrick when Kendrick song was dropping 😂😂😂🤣🤣🤣,16,0,2024-07-23T21:43:05Z,2024-07-23T21:43:05Z
Ugz5Znfkm2tW7w5tqJ54AaABAg,@sketchy3415,Funny how most of the comments at the time thought this was going to be a fair fight😂,25,0,2024-09-14T17:51:01Z,2024-09-14T17:51:01Z
UgyZp_5rBeon8hA3AGh4AaABAg,@Westside_Hippie,"Reminder- A lawsuit forcing the song to be taken down does not equal a Kendrick win, he still gotta rap back",782,237,2024-04-29T19:02:49Z,2024-04-29T22:44:29Z
Ugz2EKMSOuJnyPD5fS54AaABAg,@marshawash,"Who is here after ""Not like us"" hitting No.1! ...last time Ish was active and happy 😅😅😅",141,6,2024-05-17T07:25:51Z,2024-05-17T07:25:51Z
Ugy6walxQVvPf3V1tPV4AaABAg,@brianmolele7264,Here after “Euphoria” 😂😂😂,34,1,2024-05-01T16:08:19Z,2024-05-01T16:08:19Z
UgznlZX81ptgrVSINJJ4AaABAg,@cliftona.t8729,Who's here after Euphoria? 🤔,220,5,2024-05-01T01:05:43Z,2024-05-01T01:05:43Z
Ugzm9tCEfVmM3gHMClN4AaABAg,@ironsolomontv,“Well Pac is from the East” 😂 🫡 to Queenz Flip that was 🐐 talk,6,0,2024-05-01T03:18:09Z,2024-05-01T03:18:09Z
Ugyi2BmPEj5LinLTPYZ4AaABAg,@DelarryCarter,Crazy thing about being the boogyman is ppl stop being afraid of you when they realize that you ain't real,544,73,2024-04-29T19:59:04Z,2024-04-29T19:59:04Z
Ugxy5IQH_FrM7SSPV7F4AaABAg,@JordanRayAllen,Queenz Flip threw his chair on his platform after hearing this joint. 😂🏆✨,140,3,2024-04-29T19:17:33Z,2024-04-29T19:17:33Z
Ugwa3a_uT4TRw7v8Of14AaABAg,@kaydee1485,Bruh the Drake stans came out in full force for this one.,5,0,2024-05-01T23:30:30Z,2024-05-01T23:33:48Z
UgxNmHOpZdJJqljxim94AaABAg,@michaeljordan7733,Drake learned a lot from his back and forth with pusha. He learn not to empty the clip to early,266,44,2024-04-29T20:34:43Z,2024-04-29T20:34:43Z
UgzESiZbzlF5hQbMeVx4AaABAg,@AKpilations,"Snoop was probably like, "" damn, that sounds like I wrote it"" 😂",32,3,2024-04-30T00:47:54Z,2024-04-30T00:48:09Z
Ugx5ZpNYa8Xgy_7XzKp4AaABAg,@Birdseyeview26,"“Dot, I know you in that NY apartment Strugglin…I know it” 😂😂😂",98,9,2024-04-30T04:23:45Z,2024-04-30T14:15:43Z
UgyfEPUjLzeQJI0F54d4AaABAg,@henryn9888,"Here after the Pop Out, yeah this aged like milk. Never disrespect the West again. 😂😂",13,0,2024-06-22T00:43:35Z,2024-06-22T00:43:35Z
UgxOlwFaOl0ewPyy5xh4AaABAg,@ooohlawrence,If only they knew what K-DOT WAS COOKING,8,0,2024-05-05T11:10:04Z,2024-05-05T11:10:04Z
UgzhfSKWrclrFCoDVux4AaABAg,@JesseVealIII,"Drake did not drop one line on future it was several.  The first 4 lines are towards future.

  Then he also gets at future when he says ""Drizzy Chip 'n Dale, probably get your b*tch Chanel/ I got em done, boy don't make me have to chip a nail/ rolling loud stage, ya'll were turnt that was slick as hell/shit'll probably change if your BM start to kiss and tell/",122,15,2024-04-29T19:55:52Z,2024-04-30T01:13:22Z
UgxW5gWmebJwJsB-LUV4AaABAg,@roaches23,A month later and these comments aged horribly lmao,50,1,2024-06-02T05:47:23Z,2024-06-02T05:47:23Z
UgxeewWPhPhkQx371xl4AaABAg,@ChampagneJayeTV,"I’m just back here for some shits and giggles. 😂😂😂😂  “I think  Drake is a just genius”, “Drake is ready for the venom”. *Proceeds go sue! 🤣🤣🤣🤣🤣💀",3,0,2025-03-30T15:47:07Z,2025-03-30T15:47:07Z
UgwYRmneSjAp0aUtRaV4AaABAg,@kingdeonl,Say Emenim’s name Joe! Say it😅😅😅,3,0,2024-12-22T19:25:16Z,2024-12-22T19:25:16Z
UgwV3WMklLSKUDbBuxZ4AaABAg,@crownking2517,You gotta say CANDY MAN name THREE TIMES y’all missing the whole play 😂😂😂😂 the third drake diss his ass is grass,11,1,2024-04-30T03:20:01Z,2024-04-30T03:20:01Z
Ugzc0tQ7GMOLMlKZ7jd4AaABAg,@iamdoingthemost,This is a genius diss and gets better with time. “They not like us” is not even playable anymore.,4,1,2026-05-13T01:38:25Z,2026-05-13T01:38:25Z
UgyttIUro4IC0qsN7ol4AaABAg,@michaelmilnermixing,"He’s not ignoring future, future isn’t a good opponent for him. Drake going right for it.",83,16,2024-04-30T00:06:25Z,2024-04-30T00:06:25Z
UgxoptBUBDYI1NPXjh94AaABAg,@-Always_Right-,You think Drake listens to the pod or catches the week late clips?,49,3,2024-04-29T19:25:10Z,2024-04-29T19:25:10Z
UgzI98bxJKG_D_dmF3h4AaABAg,@cliffnasa3560,This song is literally a vibe lol caught myself listening to it on the way to work,43,4,2024-04-29T20:23:35Z,2024-04-29T20:23:35Z
UgxbbfXjyyTN7auI00Z4AaABAg,@GunsArentIllegal,I wish they'd release faster on YouTube,3,0,2024-04-29T23:08:32Z,2024-04-29T23:08:32Z
UgyTBhNU86aueit439Z4AaABAg,@Bgb902,I dont think people realized yet the beat is AI Dre too 😂 and the drop and give me 50 beat is the same sample as when he dis cardinal official he buggin rn,6,0,2024-04-30T11:46:21Z,2024-04-30T11:46:21Z
UgzqOOho-mR3nXx5Y6V4AaABAg,@pspro51,Why do i feel like Joe Blinking some secret messages?,13,1,2024-04-29T21:43:11Z,2024-04-29T21:43:11Z
UgxvqTinf_UAznP1AL94AaABAg,@youaintheardtv1040,They didn’t understand Melissa question she was spot on…the law is not specifically written for using a person tone it’s more about using lyrics beats and likenesses,36,1,2024-04-30T01:29:36Z,2024-04-30T01:29:36Z
UgwfbJvQTvG8v5tjdsN4AaABAg,@edredding,Well Kendrick shot first and they did it on album where everyone dissed him lol,36,3,2024-04-29T19:56:45Z,2024-04-29T19:56:45Z
UgxoVGlab3zJbsxLKct4AaABAg,@actuallyfactual006,"It’s wild how a room full of grown ups that have been in the music industry forever, still dont understand how your voice is included in “Name, Image & LIKENESS”… simple fact is Drake did not state the track featured “AI Snoop & AI 2pac”, meaning the moment he put it on streaming platforms to profit off the song, 2pac’s estate are fully entitled to sue him for it.",4,0,2024-04-29T23:27:01Z,2024-04-29T23:27:01Z
UgydY8P4jTrt9A97DiF4AaABAg,@Jammur,I'm glad this beef happened because it feels like I haven't heard a tough track from Drake or Kendrick in years.,7,1,2024-04-30T00:51:21Z,2024-04-30T00:51:21Z
UgxcOpdBAnRciwFB2pZ4AaABAg,@ronaldseyez,Drake had multiple lines about future on drop n gimme 50,4,0,2024-04-30T00:22:13Z,2024-04-30T00:22:33Z
Ugy-X69u82QSlYsvJaJ4AaABAg,@SilverbackChroniclesPodcast,When there is rap beef I only care what JB thinks.  He understands rap beef and the science.,36,1,2024-04-29T20:07:14Z,2024-04-29T20:07:14Z
UgxkfTfvCTTT7LPduWt4AaABAg,@loother94,Coming here after Euphoria 🤣🤣🤣 This didn't age well; bar for bar Drake can't mess with Kendrick Lamar AND WE ALL KNOW IT!!! 💯💯💯,153,19,2024-04-30T20:15:08Z,2024-04-30T20:15:22Z
UgznU0x2xh0Ymi1e_gd4AaABAg,@OlliWitta3_,NOT LIKE US - ALL of LA 🌴,7,0,2024-05-05T22:34:43Z,2024-05-05T22:34:43Z
UgxEWzlH8_TaKOqcmUJ4AaABAg,@xXbspencerXx,Still think this was the best song to come out of the beef lol,8,2,2025-03-14T18:53:53Z,2025-03-14T18:53:53Z
UgyMzPKQSIQE-X8YZeV4AaABAg,@Vlsh_,They said he hasn’t said anything wild yet they pretending like the Hi Whitney doesn’t exist😂😂😂😂😂😂,39,3,2024-04-29T22:22:49Z,2024-04-29T22:22:49Z
UgzcetBopVQGx8jYJBt4AaABAg,@Suikojunkie,The way Flip looked at joe when he smashed his computer lol,1,0,2024-05-01T23:30:38Z,2024-05-01T23:30:38Z
UgzhvNrFTfKh6zTMmBh4AaABAg,@assahwayo1790,"Drake got Kendrick fans writing essays and coping pleas😂😂😂
Boogeyman of rap is still hiding",215,67,2024-04-29T19:22:13Z,2024-04-29T19:22:13Z
UgweIS39dC4DjkOXqq54AaABAg,@ront5689,Snoop even reposted  the song on his reel fir a bit 😂,2,0,2024-04-30T08:49:50Z,2024-04-30T08:49:50Z
UgyvZwzIFT8P31_zIbl4AaABAg,@camariihaythe5365,"It wasn't a diss track, it was a disrespectful track 😂.",274,10,2024-04-29T19:53:53Z,2024-04-29T19:53:53Z
Ugypc6s72A8OmbZuX8l4AaABAg,@VKCEE72030,That piano intro...this is genius.  Get Tupac to tell Kendrick he ain't the one.,1,0,2024-05-06T18:09:20Z,2024-05-06T18:09:20Z
UgxdeHSinQ2J_XI4BbR4AaABAg,@romeoblair7467,"Ice ""It's modern warfare"" 👏",205,7,2024-04-29T19:03:32Z,2024-04-29T19:03:32Z
UgxYVCzqv2-SKpFKpPF4AaABAg,@iamworthy1302,This def was made for the spotify version so you can hear the music,1,0,2024-04-30T02:06:47Z,2024-04-30T02:06:47Z
Ugz9m3XHc0P4HABy4B94AaABAg,@Nobrakes504,That's a hard tune only problem was ppl hate AI,4,0,2024-11-12T18:20:57Z,2024-11-12T18:20:57Z
UgwgH8OZSIUKcmAqHXh4AaABAg,@snuffvillain8169,"The style of the diss kind of remind me of when 50Cent diss Game on "" I'm not rich and im still lying"". Go listen and let me know",4,0,2024-04-29T20:36:36Z,2024-04-29T20:36:36Z
UgwI5cNa-kaSowIKvXd4AaABAg,@jamerv777smerf,My man's joe buddens need some proziac man's went 0 to 100 real quick😭 15:25,8,1,2024-04-29T22:57:27Z,2024-04-29T22:57:27Z
UgzkBbftybow0EFhvRd4AaABAg,@joshuaj932,Can’t wait to see what they think about euphoria,4,0,2024-04-30T17:55:51Z,2024-04-30T17:55:51Z
UgxvT_Uo1cG7DGZusMd4AaABAg,@J.CashDro,I believe Drake did this bcuz of all the ghost writing allegations still floating around to this day. Proving he can & has written for other artists himself,6,0,2024-04-29T23:49:54Z,2024-04-29T23:49:54Z
UgyqiU1B_j4NVOCzBb94AaABAg,@frankystrings,3:20 foreshadow,2,0,2024-05-02T03:25:36Z,2024-05-02T03:25:36Z
UgwoTquJMkxm5q_0mut4AaABAg,@YoungVino703,I remember a month ago people were saying that this beef ain’t for Drake and now that he’s responding…..crickets,72,11,2024-04-29T23:56:50Z,2024-04-29T23:56:50Z
Ugw5CLVDDga-v76td-t4AaABAg,@tyleringram4471,In 2025 looking back. Parks was 100% 😂😂💯,2,0,2025-02-08T09:22:34Z,2025-02-08T09:22:34Z
Ugw5aCF16lq8ZlSffOF4AaABAg,@ooohlawrence,Here after not like us button,8,0,2024-05-05T11:10:41Z,2024-05-05T11:10:41Z
Ugwb2lm-AP-jqZ9c1VN4AaABAg,@shannonnixon8238,They all sitting there thinking damn Joe just play the whole song and shut up!😂,1,0,2024-05-03T01:03:01Z,2024-05-03T01:03:01Z
UgyPQHEjW9HgLP9UKUx4AaABAg,@iamlockhard,Best song in the beef,3,0,2024-07-11T02:02:51Z,2024-07-11T02:02:51Z
UgwIpCJZBRiDoJFZnER4AaABAg,@nelsonallison5123,Fast foward 11months....This track is still 🔥,9,1,2025-04-11T23:01:20Z,2025-04-11T23:01:20Z
UgzOyaG8UTaX2xkDzCt4AaABAg,@ramsescano5622,This didn't age well for Ish 😂😂😂,5,0,2024-06-06T12:04:05Z,2024-06-06T12:04:05Z
UgyIVHkO4421GZHTMvl4AaABAg,@TOdoubledizzle24,2 weeks ago this would be good!,101,7,2024-04-29T19:01:45Z,2024-04-29T19:01:45Z
UgzyijqGXIKBITw5-Up4AaABAg,@OmarScruggs,Joe is definitely in love with Drake. He admires him. Wants to be friends with him. And this is not me dissing Joe. For years you can tell he is legit infatuated with Drake,40,5,2024-04-29T20:27:55Z,2024-04-29T20:27:55Z
UgyUctXIOlFZPq6g4Kh4AaABAg,@Kendallrobert-s8q,Them A.I. kicks 🔥,2,0,2024-04-29T20:56:37Z,2024-04-29T20:56:37Z
UgzipjXBarauC9etkRd4AaABAg,@dro1085,How yal not bringing up the fact that Kendrick was talking to Pac in 1 of his songs and that's why Drake doing this lol,5,0,2024-05-01T13:21:33Z,2024-05-01T13:21:33Z
UgxzlCMarFNsXgxfvf14AaABAg,@astargmoneynevaendz999,"Hey joe budden i Apreciate the drop , I heard some ai  drake its lit and they got zesty drake",0,0,2024-04-29T19:18:13Z,2024-04-29T19:18:13Z
UgwsQduWEQeq4JSWz_Z4AaABAg,@loading7245,“Engraving your name in hiphop history if you deal with this viciously” aged ridiculously well 🍷 Pac called it,7,0,2024-09-22T15:01:55Z,2024-09-22T15:01:55Z
Ugx-JqDNM_LG2-402254AaABAg,@damonjones8709,And this is why hip hop is the way it is,1,0,2024-04-30T01:58:14Z,2024-04-30T01:58:14Z
Ugx_L0e1sIBh-8z9ZIV4AaABAg,@ChasiNcoinZ,here after drakes burial at the superbowl,5,1,2025-02-17T23:51:12Z,2025-02-17T23:51:12Z
UgwFi_pG2FIY0pIAaVJ4AaABAg,@jamerv777smerf,The Heart pt 6 is the 1st response. A theory from the homies🤞🗣📣,2,0,2024-04-30T02:48:35Z,2024-04-30T02:48:35Z
UgzIhDjWUye6HhIAnmB4AaABAg,@jamesmace47,Kendrick officially responded by the way,34,5,2024-04-30T18:39:20Z,2024-04-30T18:39:20Z
Ugwq0W4o1EITwIQqC5h4AaABAg,@ruud6828,"Its crazy how joe really has become a good listener, i just wish we got to see more of that during mal and rory era. he still go crazy some times but yk",0,0,2024-04-29T23:29:33Z,2024-04-29T23:29:33Z
UgwstjPJmOjbEIFWS9p4AaABAg,@snow-beach,"I thought Drake dropped some new ish ..... and then I heard it and im like, oh ... y'all are reviewing the drake ai ish 10 days later. darn.",47,4,2024-04-29T19:14:26Z,2024-04-29T19:14:26Z
UgzftyMXmpO_LenX_ih4AaABAg,@thatsjssounds,7:42 It was in digital stores and streaming platforms. That’s selling my guy,1,0,2024-04-30T00:27:23Z,2024-04-30T00:27:23Z
Ugwdu9HZlQ4PvAll-Yt4AaABAg,@divinep1912,He studied the game 😂,1,0,2024-04-30T20:10:25Z,2024-04-30T20:10:25Z
Ugzl83flMIGlCKOl7Tt4AaABAg,@-Always_Right-,Joe playing Mel was the best part of this clip,6,1,2024-04-29T19:20:26Z,2024-04-29T19:20:26Z
UgxKFL23jzEFZlWw-X14AaABAg,@barrye2476,Y’all sound crazy,2,0,2024-04-29T21:49:28Z,2024-04-29T21:49:28Z
UgytPz-zz5UxqR4pPsB4AaABAg,@JWill90s,"Much love from San Antonio, TX",4,0,2024-04-29T19:02:04Z,2024-04-29T19:02:04Z
Ugw4EWsUwVBM0m78beh4AaABAg,@Nashawnnnnn,Happiest i ever seen joe while discussing drake 😂,0,0,2024-05-01T16:15:36Z,2024-05-01T16:15:36Z
UgwcyEaU4kKWlBifYBh4AaABAg,@raheianpresley890,"This was a historical move, in hip hop.
The drake cadences and flows, were evolutionary.",34,8,2024-04-29T21:19:01Z,2024-04-29T21:19:01Z
UgziE2jTUJYgQBMFLZx4AaABAg,@Gallaid1,Who's here after the pop out.,2,0,2024-06-27T06:41:29Z,2024-06-27T06:41:29Z
UgzSXnErhjTFm2mB-3p4AaABAg,@kamBX,"Song was 🔥 🔥, concept was 🔥 🔥",76,1,2024-04-29T19:06:19Z,2024-04-29T19:06:19Z
UgzXpl0Lq1UKKLX7Um14AaABAg,@TalesFromTheBooth,"9:00 this is the issue going forward. The same way Limewire and file sharing ate up the music industry, AI features will do the same….labels are gonna want that royalty/publishing bag 💯💰💰💰",1,0,2024-04-29T19:27:23Z,2024-04-29T19:27:23Z
Ugwd_pXQB2KaZbH0Co54AaABAg,@erikv7520,Euphoria ended it all. One of the best diss songs ever made,5,3,2025-05-04T20:54:23Z,2025-05-04T20:54:23Z
UgxOVgev1h60aMIJDnt4AaABAg,@livingstonekimani6943,"Drake didn't poke the bear but he literally said ""Am with bodyguards like Whitney"" How did that go over their head😂",1,0,2024-04-30T06:23:30Z,2024-04-30T06:23:30Z
UgyKOeDfLEBpL8Ryr4h4AaABAg,@joselonguenda4291,That was the best diss idea we've seen in a while 😮,35,6,2024-04-29T20:28:20Z,2024-04-29T20:28:20Z
UgxP83AtfuXVj13qCW54AaABAg,@iShowSlowpoke,"I love how these podcasts dude ask questions they already know. 

Joe doing research “what’s the name of that song again?”

You know damn well what the name of the song is. You been on Drake D for quite some time now Joey.",0,0,2024-04-30T14:29:26Z,2024-04-30T14:29:26Z
UgwkRgvYih1LKrzNYT54AaABAg,@marcgoodson2058,Respect to Joe for giving his HONEST opinion about this despite him and Drake lil squabble. Shows that he REALLY just loves this music shit and just gives his true outlook on the game 🫡,7,2,2024-04-29T21:53:31Z,2024-04-29T21:53:31Z
UgxleCYnoDdLdMe25Td4AaABAg,@Fif5t0014,"Drake's applying a URL formula: entertaining first round, experimental second round, and now we gon' wait to see if he come with a ""third verse"".  Where if we apply the same with Kendrick, especially after Euphoria???  Right now, he Geechi Gotti goin' on a Champion run.  ""Every. Fuckin'. BAR!!""",1,0,2024-05-02T12:11:37Z,2024-05-02T12:11:37Z
Ugw_kuvKNXtHdaDBkUN4AaABAg,@sochicago5728,"2 years later update, in this “dot (bot) era” nothing is being heard or done. The whole music industry is boring. No type of features or money trees being planted lmaoo. But aye once iceman comes out everyone will see who’s TopDawg lmao.",4,0,2026-04-19T23:06:58Z,2026-04-19T23:06:58Z
UgwmjP22BMIYKcbWT-B4AaABAg,@Tharsan1992,lit ep,0,0,2024-04-29T23:31:14Z,2024-04-29T23:31:14Z
