comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugyi8Y5RBFj2tm-LmMF4AaABAg,@nightmar3116,Adonis has an entire playlist to play whenever he gets grounded,396848,987,2024-05-05T04:50:11Z,2024-05-05T04:50:11Z
Ugz51YRyG73ZFE9K2kN4AaABAg,@duckduckgoose8049,"This isn't beef anymore, this is ""to catch a predator"".",266171,782,2024-05-05T02:18:16Z,2024-05-05T02:18:16Z
Ugwj4oBzbcSNsJGQQeN4AaABAg,@SUKUNA_0009,"The ""A MINORRRRRRRRRRRRRR"" Line hit like a Mortal Kombat finisher",34964,187,2024-05-15T04:30:14Z,2024-05-15T04:30:14Z
Ugyi9WoFUeAEF2EEi6d4AaABAg,@lowlifethoosie,"""you run to atlanta when you need a few dollars"" lmfao",1140,17,2026-05-15T06:18:41Z,2026-05-15T06:18:41Z
UgynBArQYobIHMqFWD14AaABAg,@snazzy,I’m starting to get the feeling Kendrick doesn’t like Drake.,287515,1000,2024-05-05T01:27:59Z,2024-05-05T01:27:59Z
UgyBK1YF5eMW-tqntlZ4AaABAg,@babysankofa1,"""you are not a colleague, you a fuckin colonizer"" KENDRICK HES ALREADY DEAD 😭😭😭😭",127999,758,2024-05-04T23:55:46Z,2024-05-04T23:55:46Z
UgyJdc7k3WT4AgG7Ich4AaABAg,@ThEBookOfSwantEGawD,they went from begging kendrick to drop to begging kendrick to stop 😂😂😂😂,75426,266,2024-05-05T04:23:48Z,2024-05-05T04:23:48Z
Ugwg7l81MO_YLeGHNER4AaABAg,@DiyaVaid-c8v,"This song started a literal revolution back in summer 2024, ngl.",113,2,2026-05-22T12:07:53Z,2026-05-22T12:07:53Z
UgwP0yjK7_AnUYGJH7Z4AaABAg,@mooniex825,"""Beat yo ass and hide the Bible if God watchin'"" Dot brooo 😭",14644,60,2024-05-27T03:28:53Z,2024-05-27T03:28:53Z
UgxHTT1psmE2GvTYj0d4AaABAg,@skjnny9417,Man. Fighting predator accusations with “I’m too famous to be a pedo” is fucking wild 😂,80466,561,2024-05-06T13:02:33Z,2024-05-06T13:02:33Z
UgweST7BMP90-WlrBVt4AaABAg,@gambee_,The United Nations needs to step in at this point.,164004,779,2024-05-05T00:33:48Z,2024-05-05T00:33:48Z
UgywaGt7fBVjtHTAdIx4AaABAg,@CaidenF124,"""For anyone who talk to him and fall in love, just make sure you hide yo lil sista from 'em.""",94,0,2026-05-16T01:56:55Z,2026-05-16T01:56:55Z
UgwROB0giBThMnP5rrl4AaABAg,@izzyisdizzzy,"He called this man a colonizer and then backed it up. 
IT’S GAME OVER😭",27150,98,2024-05-05T20:50:22Z,2024-05-05T20:50:22Z
UgxdLIhJNFGmZOVXIQF4AaABAg,@ImDavisssTV,KENDRICK NOT HOLDING BACK 😭😭,71607,244,2024-05-04T23:54:34Z,2024-05-04T23:54:34Z
UgyrTmJrCz_2ovdmDgV4AaABAg,@jahnnypacfroy4209,"""Trynna strike a chord and it's probably A MINOR"" 🤣🤣🤣😂",53779,148,2024-05-05T00:12:36Z,2024-05-05T00:12:44Z
Ugzsl4npRVEvBSkh_7h4AaABAg,@naoscupidd,So we all just on Twitter checking if the Not Like Us music video really got deleted?,2933,82,2026-05-11T19:00:09Z,2026-05-11T19:00:09Z
UgwOJ_mLEsX3Naf2ZzN4AaABAg,@SamWeberComedy,"""I can go further I promise"" is such a terrifying line to drop in the first verse.",58832,195,2024-05-05T08:32:25Z,2024-05-05T08:32:25Z
UgzMHPaACVWA1A02j7x4AaABAg,@Rbasma13,The amount of hate you gotta have for someone to drop 3 tracks in 48 hours is absolutely diabolical 😂,24138,119,2024-05-05T01:38:06Z,2024-10-01T21:10:57Z
UgzDQHVx-lKbhHVJbwB4AaABAg,@keepitmovin4028,J. Cole snapping his fingers to this on the way to Baskin-Robbins 😂,4098,18,2024-05-05T06:41:26Z,2025-02-05T04:46:03Z
Ugy1BGUdkssUtJfHJ2J4AaABAg,@Kellz-l9z,This song really has Drake crying on iceman 😂,218,8,2026-05-16T19:56:24Z,2026-05-16T19:56:24Z
Ugxl1IpA1W6mnxghCzF4AaABAg,@hewas1404,"Euphoria:😲
6:16 in LA: 😳
Meet the Grahams:☠️
Not like us:🕺",18072,90,2024-05-05T20:58:16Z,2024-05-05T21:00:56Z
UgyIUd4IZecwQb9jl2V4AaABAg,@nicktguy,He’s taking a victory lap at this point 😭,14717,45,2024-05-05T00:21:42Z,2024-05-05T00:21:42Z
UgzY09sJXHU28sKeOhF4AaABAg,@lauri-ug6hz,"""The audience is not dumb"" and ""They not slow"" is brutal knowing he already won",8912,22,2024-06-08T20:44:06Z,2024-06-08T20:44:51Z
UgyeA7Jx2iLgzM9j2-94AaABAg,@trmadeit6,Who’s here after they said it was deleted?!! LETS RUN THEM NUMBERS UP AGAIN 😂😂🎉🎉🎉,143,0,2026-05-11T22:41:18Z,2026-05-11T22:41:18Z
UgzlpTKlkjTFcxA3Zfx4AaABAg,@builttoscalevideos,"With the Epstein files being released in such an overly redacted and panicked mess, this song has aged like fine wine.",2293,24,2025-12-21T21:10:01Z,2025-12-21T21:10:48Z
UgwBHkPLy5rRyLNGpBR4AaABAg,@JahTalksMusic,"Kendrick went from hibernation to dropping on the daily, I never seen anyone hate someone this much 😭",141274,659,2024-05-05T00:01:32Z,2024-05-05T00:01:32Z
UgwH-tH-MsNl8jZOn2d4AaABAg,@TheOneisThere,"""Beat Your Ass and hide the Bible If Gods watching "" Being one of the more calmer lines really show you that Kendrick Ain't playing 💀",17591,60,2024-05-07T14:03:58Z,2024-05-07T14:03:58Z
UgyBKGFUbkVlepttzP54AaABAg,@kxntrqll,It’s like watching the Mona Lisa get painted,77,0,2026-06-12T17:47:11Z,2026-06-12T17:47:11Z
UgzTgq3anBv7lRZ6X0p4AaABAg,@CarsonKelley2000,"Kendrick went from ""To Pimp a Butterfly"" to ""To Catch A Predator"" 😭😂",8693,37,2024-05-05T02:26:31Z,2024-05-05T02:26:31Z
Ugzywmvy0OmQO100bel4AaABAg,@GinaDarlingChannel,Nardwuar def silently slid a folder over to Kendrick bro 😭😭😭😭,37019,145,2024-05-05T02:46:23Z,2024-05-05T02:46:23Z
UgyMcBllcyF4PchviVR4AaABAg,@thatarab9695,J. Cole has NEVER been happier w any decision in his life 💀🙏🏽,4863,20,2024-05-05T06:26:56Z,2024-05-05T06:26:56Z
UgxbYolPiRw5OgCkJct4AaABAg,@kingcrusher-jj3vn,My best friend died on the 22nd....this was one of our favorite songs....I miss you so much brother. Remember. They not like us.,77,2,2026-08-30T23:45:11Z,2026-08-30T23:45:11Z
UgyOtpY7WTblj_oNoz14AaABAg,@real-trill540,Kendrick dropped a west side beat after the most disrespectful diss ever,41751,118,2024-05-04T23:52:09Z,2024-05-04T23:52:09Z
Ugx-SK3iASoohIcWLOZ4AaABAg,@zachsteiner,The fact this is STILL #1 trending for music speaks volumes,21604,168,2024-05-14T15:48:20Z,2024-05-14T15:48:20Z
UgwuroLj5lSaIbFBQ7R4AaABAg,@pinksnake8001,Kendrick really warned us to not kill his vibe.,85864,304,2024-05-08T00:33:16Z,2024-05-08T00:33:16Z
UgxFdhT0-46ZeCAdcPB4AaABAg,@Leavemealone722,"Here after Drake barked 😂😂
Am dead someone put his voice on this song 😂😂",54,0,2026-08-12T08:01:47Z,2026-08-12T08:01:47Z
UgxHM0PiMPQfBPv6mb14AaABAg,@isaacwhyy,J Cole probably at Disney eating funnel cake while this beef unfolding 😭😭,147353,726,2024-05-05T01:12:34Z,2024-05-05T01:12:34Z
UgytHrFN-QUSCC1aVsd4AaABAg,@jegsznmw,"This ain’t pimp a butterfly, this is to catch a predator 😂😂😂",3088,18,2024-05-05T01:43:37Z,2024-05-05T01:43:37Z
UgycSb6ygmber4k3Qxp4AaABAg,@nossta5242,"""Tryna strike a cord and it's probably A MINORRRRR"" LMAOOOOOOOO",3707,20,2024-05-05T00:16:02Z,2024-05-05T00:16:02Z
UgykqsKn7QWrfTa5qtJ4AaABAg,@Sh33shMC,Nga they put this on drakes account😂😂,259,6,2026-07-27T03:56:26Z,2026-07-27T03:56:26Z
