comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwAkt_0DNIspn4ThaJ4AaABAg,@KnoxHill,What else should we react to? 🤔 Comment below! Also if you like the shirt I'm wearing grab yours & other merch direct from me now 🤟 https://www.knoxhillmusic.com/shop/gotta-catch-em-all-longsleeve-tee,678,116,2024-05-04T15:03:01Z,2024-05-04T15:03:01Z
UgxfWGcPfFP8KyRUARt4AaABAg,@KnoxHill,To all the “you’re late” comments. I am a father and have a family to raise. It’s the weekend. Chill. Family Matters 😉 Enjoy the 50 min breakdown 🤟,9035,382,2024-05-04T15:20:10Z,2024-05-04T15:20:10Z
Ugy3KT2AqsQX2t_pTqZ4AaABAg,@giddy5210,Y’all better give this guys his flowers. The way he breaks things down is crazy. Hats off to you.,2460,15,2024-05-04T16:14:52Z,2024-05-04T16:14:52Z
UgzUAI_tdy40tcHBlzt4AaABAg,@ADITYAKUMAR-gl4gj,"J Cole doing house chores, singing ""No Such Thing as a Life That's Better Than Yours"" 😂😂",1963,33,2024-05-04T15:29:24Z,2024-05-04T15:29:24Z
Ugyx3r0GpbUPdvqg2154AaABAg,@Iamrichsosa,36:36 fast forward he was right lol. They gave him the grammys 😂,117,2,2025-08-21T14:43:25Z,2025-08-21T14:43:25Z
UgyePA-DjlW0918_KVp4AaABAg,@X2Musashi,"3 diss track in one day from Drake and Kendrick is insane, what a historic day in hip-hop.",1769,42,2024-05-04T15:06:06Z,2024-05-04T15:06:06Z
Ugx4DpneBrwyZqVfVlh4AaABAg,@Verycursed,Drake releasing family matters and then Kendrick immediately dropping meet the grahams really proves that Kendrick wasn’t lying when he said “I can predict your angles “.,2552,173,2024-05-04T15:07:51Z,2024-05-04T15:07:51Z
UgzncbDbEFlP9G20Ar94AaABAg,@Killsquad2,Nobody breaks down bars like Knox. I'ma 35 yr old father and I don't keep up with celebrities. NO OTHER reactor does this level of breaking down bars,989,17,2024-05-04T17:14:34Z,2024-05-04T17:14:34Z
UgxRj7FVXZhl0buivwR4AaABAg,@goblebrotherracing5525,"This song was so underrated imho 

I thought this was one of the better ones out of the battle honestly.",118,4,2026-05-21T03:26:42Z,2026-05-21T03:26:42Z
Ugzx5iL-7yziiRTswbJ4AaABAg,@djee475,"Cole looking like Nostradamus right now probably somewhere singing kumbaya
(Edit: wish he could've foreseen that awfull Grippy shii as well tho')",1114,10,2024-05-04T15:02:32Z,2024-07-08T06:53:23Z
UgzmGxmzUnBiZsWetcp4AaABAg,@KnoxHill,Adding to the breakdown: the obvious bar PC - for protective custody. Sometimes I skip past the obvious lines and start looking for the doubles/layers to explain and then forget to come back to the original. Tired brain FTW,1528,29,2024-05-04T15:53:17Z,2024-05-04T15:53:17Z
UgwcIyYkEClLe5dosF54AaABAg,@JackVolpeOfficiel,"Not hating on other reaction channels but man, you can't compare... knox is actually breaking things down, he's not jumping around screaming ""oh no you didn't! oh no he dead! Oh no it's over ma boooiii!"" This right here is gold, take all your time man ;) family matters indeed eheh",721,15,2024-05-04T17:29:54Z,2024-05-04T17:29:54Z
Ugw40DHcJIw68ntu2oN4AaABAg,@Dan-qh6me,Man I love how non biased you are. And I love how educated you are when it comes to breaking down bars!!,200,0,2024-05-04T21:17:30Z,2024-05-04T21:17:30Z
Ugx0wA7k6OMT3_Sqez94AaABAg,@thatbigblackguychannel2576,"You missed one. Michael Jackson has a darker skinned  brother named Jermaine Jackson, who he didn't want in the limelight.",829,11,2024-05-04T19:34:18Z,2024-05-04T19:34:18Z
UgzkilvFBr3rE9BO6x94AaABAg,@Tachudda,Aged so so well🥶,24,2,2026-05-30T21:13:41Z,2026-05-30T21:13:41Z
Ugx83GSI2T4jwMn4mn14AaABAg,@MrAntoineglenn,"If I didn’t watch you, I would miss 70% of these bars. Best reaction and breakdown on YouTube!",193,0,2024-05-04T18:31:30Z,2024-05-04T18:43:23Z
