comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugwwy-BaMs8UvYtuW9p4AaABAg,@KnoxHill,What else should we react to? 🤔 Comment below! Also if you like the shirt I'm wearing or hat grab yours now 🤟Exclusive merch: https://www.knoxhillmusic.com/shop/bars-gotta-catch-em-all-white-tee,184,88,2024-05-06T14:47:37Z,2024-05-06T14:47:37Z
UgwUvsXC7mBN_I1UVax4AaABAg,@Betterthanoutliers,"*Rappers:* Beefing
*Fans:* Fighting
*Reactors:* Working Overtime
*J Cole:* Sleeping",5268,62,2024-05-06T15:28:24Z,2024-05-06T15:28:24Z
UgwT64-wHHQL63hikA54AaABAg,@Berilith,"Kendrick: this dudes a creepy lyin manipulator

Drake: yea but they haven’t caught me yet so it might not be true",2515,28,2024-05-06T14:51:22Z,2024-05-06T14:51:22Z
Ugw15fbc0GIDS0ulHy94AaABAg,@LookAtHa,"He made an entire video production crushing the van, but not a celebratory video of pulling off this masterminded scheme?",800,12,2024-05-06T15:49:07Z,2024-05-06T15:49:07Z
UgzSesH_NmfFKx3zAzx4AaABAg,@nonamewizardemporium9226,"Thank you Knox for calling the 'too famous' bar out. It really isn't the bar drake thinks it is.  It is tone deaf, beyond tone deaf.",1442,49,2024-05-06T22:58:25Z,2024-05-06T22:58:25Z
UgzBnjPTSYq-6elY3Vt4AaABAg,@Kiivenn,"This isn't even a diss track, this the world first defense-track wtf",1226,28,2024-05-06T21:36:32Z,2024-05-06T21:36:32Z
UgyB6-UGqWZh6G50KNt4AaABAg,@HMakima,"This is what an unbiased song break down looks like. You actually think critically about what you're hearing, and give praise or criticism where it's deserved. Half of the other reactors just scream randomly at every other line with no thinking involved it's so funny.",2975,49,2024-05-06T16:02:41Z,2024-05-06T16:02:41Z
UgzDoyawo2eUIeXGPwJ4AaABAg,@scottchavez9382,"LOL Knox with the double ""HUH"" after the ""I'm way too famous"" line says it all",624,1,2024-05-06T18:48:23Z,2024-05-06T18:48:23Z
UgxBitLgF99Glp6-XDZ4AaABAg,@samy7165,"That double ""I'm way too famous for the sh*t you just suggested"" ---> ""HUUUUH ??"" made me laugh so hard xD",300,0,2024-05-07T11:20:46Z,2024-05-07T11:20:46Z
UgyT5ysFPy4KdSgX7aV4AaABAg,@anemonekilter,"Knox had the only normal reaction possible to “I’m way too famous for this shit”, these other reactors are wild",463,2,2024-05-06T15:30:56Z,2024-05-06T15:30:56Z
UgwHHCRi4_wnEyiywTF4AaABAg,@Strop-STH,"it will feel so weird when Kendrick and Drake will stop dropping disstracks, its a tradition for me at this point to wake up with a disstrack",3032,42,2024-05-06T14:49:28Z,2024-05-06T14:49:28Z
