comment_id,author,text,like_count,reply_count,published_at,updated_at
UgzHB5mW2n3dlPUkmId4AaABAg,@KnoxHill,What else should we react to? 🤔Comment below! Also if you like the song in the outro check out my weird & wolf storytelling video ‘The Pot & The Kettle’ https://youtu.be/2cO8wAXg5u8?si=QwO-Exzg3Yaa9Fij,72,23,2023-10-10T17:00:47Z,2023-10-10T17:00:47Z
UgyBmcECOURHwdFZWMB4AaABAg,@jrags717,Cole bodied it. Drake heard that & switched the beat 🤣. He didn’t want that smoke,625,18,2023-10-10T17:02:43Z,2023-10-10T17:02:43Z
UgzAj01WBvPjZIPNX654AaABAg,@johnwhitewaterjr,"""I forgot Drake was on this track"" 🤣🤣🤣",34,0,2025-03-17T04:12:51Z,2025-03-17T04:12:51Z
UgyPrVh0HJHLNHq52DN4AaABAg,@zaydabhary4805,"Cole literally forgot it was Drake's album, so did Knox",643,9,2023-10-10T16:18:06Z,2023-10-10T16:33:36Z
UgyjaAuII-JgtM-LUAd4AaABAg,@RhiiinoTV,the disappointment in his eyes when Drake started rhyming random female names instead of going bar for bar with J Cole 😂,886,12,2023-10-11T16:51:58Z,2023-10-11T16:51:58Z
UgykGOjD_Qs1HEhhSwl4AaABAg,@ishekay,The reaction I was really waiting for since the song dropped! 🐐,554,9,2023-10-10T16:17:27Z,2023-10-10T16:17:27Z
Ugw9ZrQvvynOFmNXQZR4AaABAg,@Keith-q1v,Knox Hill will go down in YT history as one of the top 3 Rap Reaction GOATS! Brilliant,36,0,2024-04-04T11:42:39Z,2024-04-04T11:42:39Z
UgwhLVx7IptK7iG7yjB4AaABAg,@ay33773,“still in this b*** getting bigger they waiting on the kid to drop just like a father to be” 🔥🔥,36,0,2023-10-10T17:32:56Z,2023-10-10T17:32:56Z
Ugxtlno0OOTm-U7ppNt4AaABAg,@adrianb714,The start of it all,23,0,2024-07-02T06:51:30Z,2024-07-02T06:51:30Z
Ugy_iH9cm2Cepwuuuch4AaABAg,@dimman90210,"6:23 Little did Knox know, This was the trigger to the beef",68,2,2024-05-14T10:28:26Z,2024-05-14T10:28:26Z
UgxKY5WWO5LLzQWUJ4h4AaABAg,@naamdtaannaksu,Whos here in the aftermath of 'not like us',82,1,2024-05-22T17:01:39Z,2024-05-22T17:01:39Z
Ugzf3JKB3cTE7PXG1Ht4AaABAg,@jayethington8648,This is the reaction I've been waiting for!,192,1,2023-10-10T16:24:31Z,2023-10-10T16:24:31Z
UgzYPzXsva2SegCuF1Z4AaABAg,@TimS1,"Crazy that kendrick line is just now clicking....j cole ""it's like we recruited your homies to be demon deacons, they attending your wake"".....fast forward to kendrick ""everybody wanna be demon till they get chipped by a throw away""",110,2,2024-05-29T15:49:16Z,2024-05-29T15:49:16Z
UgzXnHDHaUVdJ0bXt2B4AaABAg,@shiapod,Anyone else remember Drake going with Cole to bestbuy to buy all the J Cole CD's out the store? Feels like yesterday.,13,0,2023-10-13T14:27:01Z,2023-10-13T14:27:01Z
UgwcY98-Q-OpSSqKURZ4AaABAg,@Pito971,"Watched so many reaction channels, but there is literally no channel who breaks it down better and gets all the bars. Appreciate you Knox! Love",182,1,2023-10-10T20:33:06Z,2023-10-10T20:33:06Z
UgySF0aRVcVxEbJoo_F4AaABAg,@matteblack2391,5:00 bro told the future,10,0,2024-06-06T19:32:10Z,2024-06-06T19:32:10Z
UgyukQEpnY9lpbUnjbl4AaABAg,@anthonybuscaino6112,The song was for Cole not drake,12,0,2025-05-12T16:42:20Z,2025-05-12T16:42:20Z
UgzwQUPi9k1-j9Gwl0l4AaABAg,@StylzGTNT,I think people still missed the “Father to be line” in that he said before that line that he was in this “bitch” (a female that’s pregnant) getting bigger (like an infant in the womb ) which seams perfectly with the father to be line. Cole is a genius 💯💯,27,0,2023-10-14T14:22:42Z,2023-10-14T14:23:46Z
UgwuD5941117VsezAN94AaABAg,@dspare58,"That father line was crazy to me. My wife is being induced this Friday, Im going be a dad anytime this weekend",278,10,2023-10-10T17:33:44Z,2023-10-10T17:33:44Z
UgwTwCQTIu2AVYk7Sox4AaABAg,@chaitanyakhot3842,Coming back to this after all the dust is settled,5,0,2025-05-27T09:17:53Z,2025-05-27T09:17:53Z
Ugw71zGQcOiKZTduD6Z4AaABAg,@curtiszyr,Actually that’s Adonis with the adlibs . 😂 lil man vocals  is all over the album love it,14,0,2023-10-10T18:04:59Z,2023-10-10T18:04:59Z
Ugyk_ssyjGhP_dL3Cmx4AaABAg,@TheQuestionsssssssss,The way the perception of Drake & Cole has changed in less than a year is actually insane 😂,14,1,2025-01-29T19:52:19Z,2025-01-29T19:52:19Z
UgyZiKsogv6Kev3eYeJ4AaABAg,@TheQuestionsssssssss,The difference of break down of Cole bars and Drake bars drastically different 😂😂😂😂 Cole you can get in depth with his bars Drake shit be so so surface level,17,2,2025-06-16T23:03:20Z,2025-06-16T23:03:20Z
Ugy3yl9wA6wYw_17H7h4AaABAg,@SirJosie,"Crazy no one would have expected what that big 3 bar would have brought us to now

(Watching this after hearing “The Heart Part 6”)",42,3,2024-05-07T17:43:33Z,2024-05-07T17:43:33Z
