comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugx5Qd_ukbBEqrRWi9B4AaABAg,@KnoxHill,What else should we react to? 🤔 Comment below! Also if you like the Bars! shirt I'm wearing grab yours now 🤟https://www.knoxhillmusic.com/shop/bars-gotta-catch-em-all-white-tee,463,89,2024-05-03T16:03:02Z,2024-05-03T16:03:02Z
UgzuqAQsyZ58wD1AI614AaABAg,@AvurtYE,"Over a month later, this is definitely the most underrated track of them all.",943,17,2024-06-18T07:23:28Z,2024-06-18T07:23:28Z
UgwRD7P4tPp6zId4qTt4AaABAg,@KnoxHill,I called it when he said those Back to Back lines on euphoria. Man really did it 💀😭,5041,94,2024-05-03T16:05:41Z,2024-05-03T16:05:41Z
UgxDpuWQKyiqTopzltB4AaABAg,@familyfam225,"Al Greene posted the original sampled song on his Twitter this morning! Which means that he cleared the sample. Chess move. Drake used Tupac's AI and the estate stripped it because of the Disprespect, while Kdot Honors the legends and gets their support. This plays into Kdot's narrative that Drake is a Vulture while Kdot is of the Culture.",1360,14,2024-05-03T22:19:30Z,2024-05-03T22:19:30Z
UgwhQM_R0_moGsJM01R4AaABAg,@bigtothed4230,Kendrick got these reactors working harder than drakes ghost writers 😂,7025,136,2024-05-03T16:03:04Z,2024-05-03T16:03:04Z
UgxmADtvaFP4Y_kSasp4AaABAg,@jinaix,"Kendrick Lamar is living proof of the saying ""It's better to be a Warrior in the Garden, then a Gardener in a War""",1333,7,2024-05-03T20:29:19Z,2024-05-03T20:29:19Z
UgwVOezNDLYdOvotCxF4AaABAg,@mphonkd1102,"Late comment: someone figured out that the first verse was Kendrick talking about the day Milly Bobby Brown was on the yaght with Drake and a party he had on Memorial that was filled with teenagers, one of whom went on radio and told a story about her (teenage) friend spilling wine cooler on Drake's white shirt as told in the 1st verse. Off-seeker is a yaght rental company. Ibiza was Drake's favorite partying spot for some time. Since Kendrick never rapped about this lifestyle before, it makes sense that he was referring to Drake's. All goes back to that haunting interlude on Buried Alive when Kendrick mimics Drake's voice and says ""If you were in a pine box..."" This shit deep. I love it.",362,6,2024-06-30T16:39:23Z,2024-06-30T16:39:23Z
Ugxnl0B_3qkcd96XdEt4AaABAg,@RealTalk-n7h,J Cole is going outside and giving gratitudes to the sun today and looking at hummingbirds saying thank you 😂☀️,3725,62,2024-05-03T16:03:26Z,2024-05-03T16:03:26Z
UgxO41hF7NVfWa-RyN14AaABAg,@bigteesha,"1 It was 06:16 AM when he dropped. 
2 6/16 ~ Pacs birthday
3 6/16 is canada’s father’s day 
4 The record was co produced by Taylor Swifts producer, so it’s basically Taylor Made…
5 Euphoria (the show Drake produced), was released to HBO on 6/16

Kendrick is a mastermind",2397,63,2024-05-03T17:05:13Z,2024-05-03T17:05:13Z
UgzNNnWVIg0NMb-CZYd4AaABAg,@Jodiegetalife,The sample is Al Green 'what a wonderful thing love is' bass guitar is Mabon Hodges who is Drakes uncle... Kendrick is a genius,437,5,2024-05-04T00:30:51Z,2024-05-04T00:30:51Z
Ugz8TAKhrmIcBLZTP-h4AaABAg,@BornKing93,"Shaq for the laughs, Knox for the bars. I don't need other reactors",3438,134,2024-05-03T16:06:36Z,2024-05-03T16:06:36Z
UgwRdcAnvZiRY288YDV4AaABAg,@om2658,Kendrick talked about Benjamin  ($100) and a Jackson ($20) in euphoria and in 6:16 he talks about 100 people on a salary and 20 of them want drake dead. 😵,328,5,2024-05-03T16:49:35Z,2024-05-03T16:49:35Z
UgwYN-0RoI9ME-_Miq94AaABAg,@gimmegimmechicken,"""Offwhite sunseeker at the marina"" was direct at Drake. Off-white (Drake's complexion) sunseeker (vacations/paternity tests for Adonis) at the marina (Yachty writes and dresses you). Ties in to the next line, ""Fuck a phantom"" (Ghost writers) ""I like to buy yachts when I get the fever"" :)",257,0,2024-05-03T21:19:28Z,2024-05-03T21:19:28Z
