comment_id,author,text,like_count,reply_count,published_at,updated_at
UgxWPvDxELlM7JmA9l94AaABAg,@KnoxHill,What else should we react to? 🤔 Comment below!! Also if you like the hat that I'm wearing grab your limited edition now 🤟https://www.knoxhillmusic.com/shop/chaos-kh-flex-fit-hat,220,65,2024-04-14T17:34:38Z,2024-04-14T17:34:38Z
Ugy4-3r7qX7JTbtII454AaABAg,@orionh5535,The real winners of all these disses are all the breakdown youtubers,4195,57,2024-04-14T17:50:16Z,2024-04-14T17:50:16Z
Ugy9WPHvzi8w1AtF1QN4AaABAg,@Outtathewoods1,This is not a reaction channel. This is a break down channel. My man levels above these reactors.,1590,22,2024-04-14T19:21:42Z,2024-04-14T19:21:42Z
Ugx7T4CuM8KzX8b9e2V4AaABAg,@MrThankman360,11:47 Don’t forget Michael Jackson’s oldest son is literally named “Prince”. That’s a tough bar.,2111,55,2024-04-14T17:52:00Z,2024-04-14T17:53:22Z
UgzEwPmdGmaSmzMqw8Z4AaABAg,@chaitanyakhot3842,"""Drake, they’re gonna turn on you one day too
And the more you win, the sooner they do""
- Eminem, Zeus
Bruh Em literally saw this coming!",1196,32,2024-04-14T20:58:32Z,2024-04-14T20:58:32Z
Ugw-NseuMnyBBtK6abJ4AaABAg,@fujibosco,The genius of Drake's response is he responds to everyone equally meaning he regard Kendrick as just another guy which is a layered disrespect.,462,19,2024-04-15T16:31:36Z,2024-04-15T16:31:36Z
UgyGAJb95U7Z0Evgqyh4AaABAg,@isssavibe,J Cole gonna drop a song called “Can we all just work this out?”,1998,51,2024-04-14T17:38:48Z,2024-04-14T17:38:48Z
Ugz-oTqnhTU8EmqjplN4AaABAg,@mariocontreras3543,“Drizzy Chip ‘n’ Dale” is crazy cause Chip & Dale were known for constantly outsmarting PLUTO in the TV show,170,6,2024-04-16T04:43:46Z,2024-04-16T05:04:50Z
UgwdKBVpICwEq0l7ThF4AaABAg,@mvc2177,"NoLifeShaq: best funny reactions
Knox: Breakdown king 👑 
Stevie: bias glizzy king",1653,156,2024-04-14T18:08:38Z,2024-04-14T18:08:38Z
UgxFSMKAP0rvWHTPYWB4AaABAg,@PapaSeniorrr,"Even if you don't vibe with Drake, you can't deny this is a banger diss track 😂",355,16,2024-04-16T08:04:09Z,2024-04-16T08:04:09Z
