comment_id,author,text,like_count,reply_count,published_at,updated_at
UgxhO4v_Xo6pTb3CKuZ4AaABAg,@KnoxHill,What else should we react to? 🤔 Comment below! Also if you like the hat I'm wearing grab yours now 🤟https://www.knoxhillmusic.com/shop/chaos-kh-flex-fit-hat,130,64,2024-04-20T12:31:27Z,2024-04-20T12:31:27Z
UgwbXucxQns_0Uxr06t4AaABAg,@KnoxHill,Hold up hold up. We moving the goalposts now?! Yall called J. Cole weak for apologizing and said it wasn't hip hop. Now you're trying to tell me Drake's diss doesn't count cuz it's too disrespectful?! There are NO rules in a battle! Disrespect is the point to get under your enemy's skin!! You guys gotta keep that same energy - not change the narrative from one person to the next just bcuz you don't like it 🤟,3745,327,2024-04-20T13:05:20Z,2024-04-20T13:13:39Z
UgwijUCbItkwMtqcHph4AaABAg,@Cconkyy,"""quintuple entendre.. something I dont even understand""

Knox: ""Dont worry Ill understand it""",1478,15,2024-04-20T13:15:19Z,2024-04-20T18:02:39Z
Ugx9gnD3Lf1CKcDQ9Sh4AaABAg,@shahzaibx1998,"The way Knox caught Swiftyy bar ahead of when Drake actually discussed it in Tupac's verse, speaks volume about this guy's talent.",1250,27,2024-04-20T12:50:38Z,2024-04-20T12:50:38Z
UgyiZhS4Yq2zkyLt2iN4AaABAg,@Iam_bossman,"""You better have a mfckin quintople entendre on that shit, some shit I prob wouldn't even understand"" Drake is hilarious😂",448,6,2024-04-20T14:19:20Z,2024-04-20T14:19:20Z
Ugy2jJf8ugfuFXGr2Hh4AaABAg,@mainmain282,Feel like drake showed this to cole and cole said im out 😂😂,1034,23,2024-04-20T13:03:48Z,2024-04-20T13:03:48Z
UgzLDMhx7SENZVy3pdR4AaABAg,@Addictiveme333,"""I'd love to be a fly on the wall and see Kendrick's face when be hears this"" 😂😂😂😂",411,4,2024-04-20T13:53:41Z,2024-04-20T13:53:41Z
UgwmkY0l-TDAD1Uk2L54AaABAg,@JaRHeaD326,Bro this dude is legit THE NICEST Reactor in that lane…💯…he does his Homework,190,2,2024-04-20T17:15:13Z,2024-04-20T17:15:13Z
Ugz8kSyuJ2idERTZbV54AaABAg,@DJAjamu,I like the Taylor Made title as a play off of “tailor made” since it’s a diss that’s been custom fitted specifically for KDot. He mentions no other rappers in the song. Boy made a damn suit for KDot. Clever as hell. 🔥,543,20,2024-04-20T13:17:38Z,2024-04-20T14:14:17Z
Ugwk7GNsk6ghM0K7KYd4AaABAg,@alexham28,"""Show that Owl whos boss"" is a pretty cool play on words. Owls make a who sound when they talk",428,26,2024-04-20T13:12:47Z,2024-04-20T13:12:47Z
