comment_id,author,text,like_count,reply_count,published_at,updated_at
UgzgtXTKdZ6Chp78g4F4AaABAg,@Jestfoster,"Y’all give Drake way too much credit. All he did was call Kendrick short, and speak about his record deal with no evidence. Kendrick is actually dissecting Drakes character.",9848,597,2024-05-01T09:56:08Z,2024-05-01T09:56:08Z
UgwrsYvjIFQ_F6sbQa14AaABAg,@shadesofpink-1,"""I don't wanna call him a culture vulture. I don't think that's what he's saying."" LOL That is EXACTLY what he's saying.",248,1,2024-05-16T20:29:16Z,2024-05-16T20:29:16Z
UgztAQxO6WvwL-NNxWN4AaABAg,@VictorLawani-jt6qe,""" I love em to death, I'll explain that one in 8 bars "" 8 bars later was the YNM Melly bar 😂",5578,79,2024-05-01T07:45:00Z,2024-05-01T07:46:07Z
Ugwl2nCNZcTSWsgcVwx4AaABAg,@divadoll606,"Not a bar was wasted. This is my personal favorite. His cadences, delivery, and breath control is immaculate.🔥🔥🔥",11,0,2025-11-14T06:21:53Z,2025-11-14T06:21:53Z
UgzG0Ga0to56vGokts54AaABAg,@yeezyless6020,"“I don’t want to call him a culture vulture, I don’t think that’s what he’s saying” no, that’s what he’s saying 😂",2515,28,2024-05-01T16:32:13Z,2024-05-01T16:32:13Z
UgwBCiyruIED35jEoSd4AaABAg,@KingRamon1000,Diss tracks aren’t supposed to be for clubs. What Kendrick did was surgical and strategic.,3897,232,2024-05-01T08:26:51Z,2024-05-01T08:26:51Z
UgxPrmKGUwxW9GhkE9B4AaABAg,@michaelm210,I love how Ryan always explains lyrics by repeating the line and adding “you know what I’m sayin?”   at the end. 😂,316,7,2024-05-02T12:44:26Z,2024-05-02T12:44:26Z
UgyAXdLCFm4OndpWlTt4AaABAg,@PhilPayne313,Y'all usually be on point I'm not even kdot fan but y'all drop the ball on this one,19,0,2025-05-16T23:13:48Z,2025-05-16T23:13:48Z
UgyhkqZH7zYmyuP1Uax4AaABAg,@westcoasthavik4165,The “I hate” lines are a reference to the dmx interview RIP DMX 🕊️,297,2,2024-05-01T15:45:27Z,2024-05-01T15:45:27Z
UgxP_vQ82MILy807ckx4AaABAg,@user-rl9qi2sg4e,"The a ""i dont like the way that you talk, walk and dress"", by Kendrick is a DMX reference, where DMX clearly stated that he doesn't like anything about Drake including how he walks, talks and his haircut, so Kendrick was taking that approach and rapping from that perspective 👌🏾",1461,41,2024-05-01T08:10:54Z,2024-05-01T08:11:40Z
Ugy3T0g1Y5cJoQ9jl4x4AaABAg,@tarryls,Every line is Bar this is perfection every beat Is matched perfectly to the emotions of this track,18,0,2024-05-03T14:38:54Z,2024-05-03T14:38:54Z
UgznmEnzziiMa1NjuV94AaABAg,@keanmrnam,4:37 Lol coming back here post-law suit is wild,8,0,2024-12-15T12:02:48Z,2024-12-15T12:02:48Z
UgzYQMv9KQfxoNcP1vx4AaABAg,@Robbbyyyyy,Congrats on your OVO deal. We had no idea they signed you guys.,1315,19,2024-05-03T20:53:32Z,2024-05-03T20:53:32Z
Ugw7fdRNIi3v0QPouTd4AaABAg,@Kickinthescience,I appreciate Kendrick dropping the track on the main page without all the antics,3009,110,2024-05-01T07:33:26Z,2024-05-01T07:33:26Z
UgzdjoS3DOsJlbfNBFN4AaABAg,@gordo5762,I heard “I don’t know” way too much in this breakdown lol. Y’all know exactly what’s being said 😂 I know it’s opinion but calling Kendrick childish after man’s went crazy over the “size seven men’s” line way to dismissive on direct bars,333,10,2024-05-01T11:58:15Z,2024-05-01T11:58:15Z
UgzHX9A39JgMZIB4cYZ4AaABAg,@ElusiveJT,Ryan really lost me on this one. So many layers to unpack with Euphoria,174,3,2024-05-03T08:51:30Z,2024-05-03T08:51:30Z
UgxDGJKtBMEWqCmxMjd4AaABAg,@cronicasdebarba,This is probably the first time in years watching you guys that i watched you get this many bars over yalls head,766,22,2024-05-03T04:26:07Z,2024-05-03T04:26:07Z
Ugy3hCu-xoNmMqQclE94AaABAg,@Júlio_Machava_Jr,Kendrick literally came with 3 switches!,2161,53,2024-05-01T07:36:01Z,2024-05-01T07:36:01Z
UgyR7CgguYtqzNcEUjJ4AaABAg,@annaferguson5711,"Turns out, Kendrick really was being nice.",29,0,2024-05-04T07:40:33Z,2024-05-04T07:40:33Z
UgyW2jqb0wTDcNoK2r94AaABAg,@exclusiveviews1926,"Kendrick just dropped another, now take your time on this one unlike the last one cos y’all slept on euphoria",69,1,2024-05-03T16:23:33Z,2024-05-03T16:23:33Z
Ugxxh0sC8d9BFNzd15B4AaABAg,@PoetMisterAubs,"“whooping feet” is west coast slang meaning you finna beat someone ass so bad, they finna lose they shoes in the process😂",905,20,2024-05-01T11:27:14Z,2024-05-01T11:27:14Z
Ugy0L-qLUUks85FGDml4AaABAg,@justbambam2929,"Aubrey is a great actor, his best character ever is Drake",201,6,2024-05-03T04:09:02Z,2024-05-03T04:09:02Z
UgyRYeIjPB3HBhw8ZLd4AaABAg,@natethevoicemusic6085,"“Am I battling ghosts or AI” is not just referring to ghost writers but also “ghosts” because he used Pac’s voice in that Taylor Made Freestyle, Pac being the “ghost”.. dope ass line lol",550,13,2024-05-01T14:22:45Z,2024-05-01T14:23:05Z
UgzZyShTXe31YCi6PxZ4AaABAg,@madisonmayo,there's something woefully ironic -- sad even -- about Ryan stammering through his point on how a studder discredits an artist's  message.,22,0,2024-05-09T00:15:02Z,2024-05-09T00:15:02Z
UgzoicOMzyaExLloK3t4AaABAg,@kingrell116,For yall to not recognize the classic Teddy Pendergrass song is wild 😂,623,29,2024-05-01T11:45:04Z,2024-05-01T11:45:04Z
Ugyyvhesz3HQxg9vYEt4AaABAg,@officialandr3s215,You have no idea how many times I looked for this notification my guys Jesus!! Let’s get into this B E E F,211,0,2024-05-01T07:32:41Z,2024-05-01T07:32:41Z
Ugy0pqD6_m8_1FASvjh4AaABAg,@bacchustheromangod,"The sample on the first beat is teddy Pendergrass. ""REMEMBER!"" KDot said it like Drake said it in a song called worst behavior.",150,2,2024-05-01T08:28:28Z,2024-05-01T08:28:28Z
UgzFji70i3xBnsxG4Md4AaABAg,@charlottesmythee,Did these dudes just say this man sounds “childish”… WOW lol this whole reaction is actually kinda hilarious because they really think they sound so elevated but damn near every bar went over their heads. Obv Music is subjective but my goodness I’ve seen Drake fans react to this and they are in awe because every part of this song is musical master class.,16,0,2024-05-19T03:49:38Z,2024-05-19T03:49:38Z
UgwsP1HduJtSZ_SRELB4AaABAg,@SPXCEDXST,"“When I see you stand by Sexyy Red, I believe you see two bad bitches”💀",2724,83,2024-05-01T07:41:05Z,2024-05-01T07:41:05Z
Ugz0zrilQ8PTOKYM-Rh4AaABAg,@WhysoZen_,“I want him to be a bit more direct” bro whaat?? Are you listening?😂😂,1158,42,2024-05-01T18:43:49Z,2024-05-01T18:43:49Z
UgxcbP1nGWXFeE7C3ER4AaABAg,@furrybproductions,"I gotta say, Kendrick sounding like he's playing around on this track is dope AF imo. It's the equivalent to Ali dancing in the ring. Effortless destruction. Peak.",415,6,2024-05-01T23:13:34Z,2024-05-01T23:13:34Z
UgyvtKdMUshJtljqgDB4AaABAg,@chrismars1060,Hundred 💯  bars went over their head and they still talking like they know everything,6,0,2024-06-01T07:45:20Z,2024-06-01T07:45:20Z
UgzC1cPoIBRPrHl0Nw54AaABAg,@movielovrrr,Can't believe ya'll slept on this.. This one of the best diss tracks ever. bro said pushups is better lol smh,14,0,2024-05-16T02:32:23Z,2024-05-16T12:33:22Z
UgweBWRVCZxedGw5ljV4AaABAg,@steari,Yall are Lost in Vegas fr 😂,419,8,2024-05-16T00:49:33Z,2024-05-16T00:49:33Z
Ugzq_D2xLlmnIXoZNwF4AaABAg,@thebetterofaloneboy,"BEAM is a Jamaican Artist, he wrote Rich flex and Major Distribution which you guys reacted to and liked, BEAM works with Skipondabeat who produced Major Distribution & He also works with Jordan Hollywood who is signed under QC and he is also a ghostwriter, The 3 of them have a label called Bounce House Beats where they produce and write for artists, the label is in Broward County Florida since they are from there.",327,7,2024-05-01T08:08:35Z,2024-05-01T08:08:35Z
UgxSYheHowFmObO_RAJ4AaABAg,@themessage6114,"LMFAO

This video will FOREVER have ppl looking at their reactions differently.",28,6,2025-01-08T16:40:39Z,2025-01-08T16:40:39Z
UgxJVln10ehVLGYp7d54AaABAg,@thabisomotloheloa2655,Finally the reaction that I've been waiting for🎉🎉. All love from South Africa,50,0,2024-05-01T07:47:36Z,2024-05-01T07:48:29Z
UgxYudCilm9W_QkeBGx4AaABAg,@WestSideBarson,Kendrick gave top 10% of pg lang as a thank you for putting him on when he was young. Really grinding it out with top and literally sleeping at his house and eating his food. Kendrick showing appreciation,326,19,2024-05-01T08:14:56Z,2024-05-01T08:17:53Z
Ugwi_sigd6SVYLelodB4AaABAg,@kennyvince,"Rewatching after rewatching again the “push ups” reaction and Ryan’s dislike of Kendrick’s work is so apparent. The poker face he has throughout most of the reaction is hilarious. He only reacts whenever he sees George and only does so half assed. Meanwhile he pops off to the most minor and surface level bar from Push ups. Gives way more importance to the beat than anything in a rap battle. To each his own, guess he likes music that pacifies more.",516,24,2024-05-02T12:28:11Z,2024-05-02T12:28:11Z
Ugz10QrlfsDOgHeJ8ZN4AaABAg,@jamkick8,i knew insantly these dudes got a drake bias when they werent feeling euphoria like that. undeniably top 3 song from all of the disses,13,0,2024-05-11T16:56:12Z,2024-05-11T16:56:25Z
Ugzw2xEThvC1iMP4uZ54AaABAg,@joshuaalvarez3469,"I SHOULD be asleep, especially with a 50+ minute video… but priorities >>>>",56,0,2024-05-01T07:38:02Z,2024-05-01T07:38:02Z
