comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwQ6olb_73b1tQekAx4AaABAg,@LostInVegas,Editing the other disses fyi!,2934,216,2024-05-04T13:37:22Z,2024-05-04T13:37:22Z
UgzoGnf2n8dNxolmEc54AaABAg,@JD-mo9nn,"""Let's just have fun guys"" with context to Kendricks latest effort is hilarious 😂",1722,22,2024-05-04T13:54:56Z,2024-05-04T15:19:53Z
UgxFwBM3XqT7vRoH8C54AaABAg,@thewrestlingoldhead,"Cole is waking up to the fresh smell of ripe
apricots and blooming dandelions, listening
to the birds chirp in a tranquil forest",1008,10,2024-05-04T14:16:18Z,2024-05-04T14:16:18Z
Ugznzu139uAmWVkzSqx4AaABAg,@Poppin023,"wish kendrick released this one on streaming, this is my favorite one from his so far",179,3,2024-05-08T12:12:29Z,2024-05-08T12:12:29Z
Ugy-LjpsdiNVwf8YorF4AaABAg,@cameronkoehn2093,"I know this track is overshadowed now, but that ""i sleep in cicadian rythms of a shooting star"" line is crazy.",731,33,2024-05-04T15:42:03Z,2024-05-04T15:42:03Z
UgzHyZ3Xz42mrxuzvcF4AaABAg,@Up2Date444,Coles decision to bow out becomes more understood and accepted by the minute 😭😭😭,1118,35,2024-05-04T14:07:46Z,2024-05-04T14:07:46Z
UgxWrMlWKJ8ihaMOIn94AaABAg,@jetsantiago1102,LMAOO RYAN talking bout lion 🦁 was top tier trolling 😂😭,13,0,2025-02-12T21:48:51Z,2025-02-12T21:48:51Z
UgyddzqNIibWz4cKPz94AaABAg,@wuthurer,Imagine. Just imagine. There are 2 other disses they need to get to after this. We’re really getting a different level of beef with these 2,665,10,2024-05-04T13:55:29Z,2024-05-04T13:55:29Z
UgypFJ7zafbuHRqDNSJ4AaABAg,@alexholtmann5178,Kendrick wasn’t lying when he said 5 percent will comprehend but 95 percent is lost 🥲,290,20,2024-05-07T02:33:45Z,2024-05-07T02:33:45Z
Ugy8D2F4xY3rGU2t_PB4AaABAg,@reginaldclark8409,"Considering Family Matters and Meet the Grahams dropped after this, they will go back to this warning shot before witnessing a homicide. There’s a body laying in the street.",205,9,2024-05-04T14:24:04Z,2024-05-04T14:24:04Z
UgylpWJhexopDQHOyst4AaABAg,@Hriati_Tlau,They really uncs for real 😭 reacting to 6:16 in LA while we were expecting meet the grahams 😂 kendrick really got the reactors working full time,493,9,2024-05-04T14:00:47Z,2024-05-04T14:01:07Z
Ugwrq58p65pv5Giw-LV4AaABAg,@nickphaux,4:58 “Am I!?? To me that’s obvious! 😮. Quadruple Entendre!” Probably my favorite George bit lol,7,0,2025-08-04T00:13:25Z,2025-08-04T00:13:25Z
UgyzSgzivaedS0Wb9uZ4AaABAg,@filthymindtricks209,"The scary shit is... People have said Kendrick had a 19 minute nuke. And if he's broken it up between Euphoria, 6:16 and Meet the Grahams, There's still 3+ minutes left",312,11,2024-05-04T14:24:49Z,2024-05-04T14:24:49Z
UgyMRgGzlxbDZLHqMxV4AaABAg,@kamaalshakuur8334,"In my opinion, and I respect both of y’all’s view: We both know we’ve heard the “interscope (in the scope)” line COUNTLESS times and yall went crazy over it. And Drake saying “Ya pants might rip” while George saying “no lines should be wasted” is giving Drake yet another pass. For me it’s not about yall disliking Kendrick’s diss, it’s more so about over-looking where Drake fell short.",159,11,2024-05-04T14:46:37Z,2024-05-04T14:46:37Z
Ugz_QCfklXJJlsslFOt4AaABAg,@gbg123666,"To me the biggest issue with watching your coverage of this beef is not whether or not you are biased, the problem is more your approach of viewing this in a classical rap battle sense. This is not 2 guys live on stage going at each other where every punch need to be direct and clear in order to reach the audience. This is all being done online where half of the entertainment comes from disecting each line by googling or checking breakdown vids to grasp the bigger picture. 
This classical view also goes to your way of defining the rounds. One round does not have to be one song vs another.",62,4,2024-05-04T16:41:06Z,2024-05-04T16:41:06Z
Ugy3n6NS25dvIWMT1jJ4AaABAg,@thatguyshaq7053,Bro dropping disses faster than reactors reactin.,37,0,2024-05-04T15:10:47Z,2024-05-04T15:10:47Z
UgyRx8xeZxLWANBhcSF4AaABAg,@jackbyrne6021,"Ryan like ""Drake could never be alone when I'm here""",265,10,2024-05-04T14:00:05Z,2024-05-04T14:00:05Z
Ugx3j0eftTLAp16WsAd4AaABAg,@brandokeepit1009,The fact that everybody is getting it but them is crazy,313,28,2024-05-04T17:56:05Z,2024-05-04T17:56:05Z
Ugyg0vY-EnQgQ1K3qAp4AaABAg,@SS-zr3xd,Kendrick over here making everyone work overtime,247,13,2024-05-04T13:54:51Z,2024-05-04T13:54:51Z
Ugz-KWVVrUuGpvv-iEF4AaABAg,@Ands488,To be fair like that wasnt really a diss it was more like a callout.,511,35,2024-05-04T13:56:31Z,2024-05-04T13:56:31Z
UgzbGatn4mEvvgwNzV54AaABAg,@foolishgenius,7:35 it's so ironic how he was joking but he was right and it's also funny when Kendrick later on in the songs says did Drake that the metaphors don't reach you it's just ironic how these two are just like Drake😂,3,0,2024-07-27T10:23:16Z,2024-07-27T10:23:16Z
UgzYChoPYb2bnC2Ir354AaABAg,@peacecrusader451,"If you needed anymore proof that Kendrick has a mole in Drake's camp, he drops his response ""Meet the Grahams"" within an hour of ""Family Matters"" and then has the Jewelry shop receipt of the ring  Drake is using in the video as a portrayal of Kendrick's wife's ring. This is some Art of War shit. 🥶",414,18,2024-05-04T15:17:36Z,2024-05-04T15:17:36Z
UgyIRacWk15KEGmo_s54AaABAg,@mondlism,Putting a verse(like that) vs song(push ups) is crazy way of grading 😂,337,25,2024-05-04T15:08:25Z,2024-05-04T15:08:25Z
Ugxg7YbwQJVMxb0Kwvh4AaABAg,@naetiontv,"“Like that” wasn’t Kendrick’s song. That’s like them getting ready for the match 😂so I think it would be 


Push ups—-Euphoria 

Taylor made Freestyle—-6:16 In LA 

Family Matters—-Meet The grahams 

Not Like us—The heart part 6",51,1,2024-06-05T19:31:43Z,2024-06-05T19:31:43Z
UgyerCZyzLHhDYgdkAB4AaABAg,@Rajarshi_X,as much as I love this channel I dont think you put Drake under remotely the same level of scrutiny for his bars and lyricism.,521,32,2024-05-04T15:48:10Z,2024-05-04T15:48:10Z
Ugx8oOZ0zqmI28sgaZJ4AaABAg,@MCGZay,OOOOH I CANT WAIT FOR MEET THE GRAHAMS,492,45,2024-05-04T13:55:31Z,2024-05-04T13:55:31Z
Ugy0jR40JMf8k5aMdYh4AaABAg,@codyvaughn4195,When you see this as the warning shot to Meet the Grahams it all comes full circle,4,0,2024-05-04T18:59:26Z,2024-05-04T18:59:26Z
UgxjWkZ-qRVLAeE37Wd4AaABAg,@D3strocion,Personally this song feel like planting the seeds of doubt for drakes camp. He’s showing drake he’s compromised to make him paranoid and not trust anyone while setting the OVO team on fire. It makes so much sense after the next drop.,127,4,2024-05-04T15:46:46Z,2024-05-04T15:46:46Z
UgzoQQE-g0jYSlprVb14AaABAg,@MagicFan81,"""Yeah, Kendrick didn't go super hard on this one""
Yeaaah I'll be waiting for you guys to post the reaction to Meet the Grahams soon.....",41,4,2024-05-04T14:52:55Z,2024-05-04T14:52:55Z
UgyqXKwbOy2J1jhDxnF4AaABAg,@edgarb.4221,Waking up seeing three new videos regarding this beef was awesome. Lost In Vegas the 🐐,0,0,2024-05-05T10:26:04Z,2024-05-05T10:26:04Z
Ugza3LzSbnTO-WhZVQh4AaABAg,@evanmotl7385,"I don’t know why people can’t understand this. Like that wasn’t a round counted, it was the initiating shot. The first round is Push Ups vs Euphoria, second round is 6:16 vs Taylor made, and the third is Family Matters vs Meet the Grahams. Just like almost every other diss battle, there is an initial blow that isn’t considered an actual round, like Not Alike by Eminem, or Lucky you freestyle by Tory Lanez",162,18,2024-05-04T14:30:01Z,2024-05-04T14:30:01Z
UgwPPa_uV8lrAGKCcC14AaABAg,@Hiphopalldayy,"I feel like y'all are missing the point of this track, it’s like Kendrick’s back to back, it’s in the same vein as Drake’s Taylor Made. It’s a bonus track to plug the gaps, this was just a light shot to show he still active and waiting on Drake.",227,19,2024-05-04T14:06:42Z,2024-05-04T14:06:42Z
UgzQu14MQJzzQw4L8rR4AaABAg,@DOMxARIGATO,The work rate from this channel is insaneeee😮‍💨,1,0,2024-05-04T23:31:46Z,2024-05-04T23:31:46Z
UgxFTtHgHaMN0Rqb-Ol4AaABAg,@danielagbaniyaka6196,"This is not a diss as we are used to..This is a psycological weapon, telling drake that the battle you should be fighting is with yourself...This is dope",358,15,2024-05-04T14:35:40Z,2024-05-04T14:35:40Z
UgzMEkoIgRK410yTpsl4AaABAg,@SiphesihleMngoma-iu9rd,"Thank God, yall finally reacted to this track I've been waiting.... South Africa signing in.",29,1,2024-05-04T13:55:07Z,2024-05-04T13:55:07Z
Ugw9KFXgMNPetS5Y1rt4AaABAg,@higherelevationproductions6849,this is why i always come back to this channel you guys are killing the reactions,0,0,2024-05-04T22:41:14Z,2024-05-04T22:41:14Z
