comment_id,author,text,like_count,reply_count,published_at,updated_at
UgyLSD6wAA_bR-1MBhB4AaABAg,@TOMR3D,“First time he sounded comfortable” nah it’s the first time YOU been comfortable.,6313,79,2024-05-07T09:49:21Z,2024-05-07T09:49:21Z
UgxbYMt7ZDUjfFXhUEJ4AaABAg,@xo4l34,"“hey drake they’re not slow” 
did NOT apply to ya’ll 😂",3199,27,2024-05-09T15:11:11Z,2024-05-09T15:11:11Z
UgzTUZXRFZGvWYIb32N4AaABAg,@darrellwilliams9168,Ngl yall hyped up Drake filler bars but judge Kendrick’s bars on a different standard💀,8012,195,2024-05-07T05:54:46Z,2024-05-07T05:54:46Z
UgxmIilU7OuSxjEL1oZ4AaABAg,@swesh26,"The ""you guys disliked the vid before you even watched it"" is so ironic lmao",1679,17,2024-05-07T05:47:34Z,2024-05-07T05:47:34Z
UgyiTfDEuZ4aECK0U9l4AaABAg,@The_Dusk_Sage,"They say Cole touches your heart, Kendrick your soul, and Drake your kids.",4327,81,2024-05-07T12:56:00Z,2024-05-07T12:56:00Z
UgweEC_kLvriSLsth914AaABAg,@caciblackler3277,Meet the Grahams wasnt made to be lyrical. It was deliberately made to be disrespectful and to the point,6010,212,2024-05-07T05:12:23Z,2024-05-07T05:12:23Z
UgwSFT3SgCdDEjaxzDB4AaABAg,@theburgerofficial1,"The funniest thing, is that Kendrick literally said that unless he was rapping on a club beat, none of the drake stans would give a shit about what hes saying and it'd fly way over they heads. Look what happened.",1498,25,2024-05-21T05:44:30Z,2024-05-22T11:45:30Z
UgwQqjU-y-gD3vD0fyB4AaABAg,@ashinyespeon,"Kendrick : “Drake, your fans aren’t slow”

This channel : hold my beer",721,5,2024-05-16T05:08:08Z,2024-05-16T05:08:08Z
UgzLGeeW7srJTByknIl4AaABAg,@l.aguilar1,"the fact they were referring to this dude as ""the bald one"" had me rolling.",3086,28,2024-05-07T07:22:22Z,2024-05-07T07:22:22Z
UgzrtJPyRj_mR0upoQt4AaABAg,@wojek2209,"""5 percent will comprehend but 95 is lost.""",2103,19,2024-05-09T15:02:18Z,2024-05-09T15:02:18Z
UgwRe-YCRn4Oy67jdLh4AaABAg,@ImMe-hp7jn,“ Finally a witty double entendre…” ummm have we been listening to the same songs lol he’s been delivering them. The A minor bar has been his most basic one… lol.,2110,46,2024-05-07T05:23:24Z,2024-05-07T05:23:24Z
UgyOIWmILG-MP6IbXt94AaABAg,@BrothaGoodReps,yall missed the whole bird motif “that PREDATOR move in FLOCKS”,82,0,2024-05-23T16:02:10Z,2024-05-23T16:02:10Z
