comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugw_AEbfNYEwVj8sNfV4AaABAg,@astrocade9541,I love how the beat so hard it feels like a diss itself 😂,4773,36,2024-03-23T04:11:37Z,2024-03-23T04:11:37Z
UgxLMasm8JWSJcHgIPB4AaABAg,@WardaMalik-lj6yb,Metro setting the rap game on fire like it should be,43,0,2024-04-11T21:08:41Z,2024-04-11T21:08:41Z
Ugw45RAwFBnpKYRCgpV4AaABAg,@MrPhoenix357,AK is a higher caliber weapon than a 9mm. He's saying that they aren't the same caliber of rapper. It's a NASTY bar!!!,81,0,2024-04-03T14:57:29Z,2024-04-03T14:57:29Z
UgxcW0Sd0fKLcjM0oC94AaABAg,@GoatSince1997,"“B**ch my hair down, Prince live through me (I Am Prince)”

- Kendrick Lamar (Future Mask Off Remix)",1095,3,2024-03-23T22:30:25Z,2024-03-23T22:30:25Z
Ugzr_m-BOZT1xAdS67l4AaABAg,@trehernley,Metro doing us a favor. We needed this Kendrick,2318,20,2024-03-23T02:50:48Z,2024-03-23T02:50:48Z
Ugy-_YZS8WuRJFTZbVp4AaABAg,@syth6189,"metro HAS to be one of the greatest producers, his shit ALWAYS crazy",307,2,2024-03-28T07:19:54Z,2024-03-28T07:19:54Z
Ugw6yk2JNQDUGPzbOLh4AaABAg,@jumpinjackjames,Metro is the biggest instigator I’ve seen in a minute,7604,163,2024-03-23T02:18:15Z,2024-03-23T02:18:15Z
UgwZqwQ2psdWwTWTwLd4AaABAg,@jeredsanders3253,Drake bouta drop subliminals for the next 10 years😭,5438,94,2024-03-23T02:30:03Z,2024-03-23T02:30:03Z
UgxuVfQKpXgeejdhord4AaABAg,@tinotendakumbawa9359,then he went ahead  and PROOVED that he's a problem. 1. Euphoria 2. 6:16 in LA 3. Meet the Grahams 4. Not Like Us!,87,3,2024-07-11T21:14:32Z,2024-07-11T21:14:32Z
Ugw4cnb4QfYbLoJON2Z4AaABAg,@k.n.o522,We haven’t had a moment like this since control. WHAT A TIME TO BE ALIVEEE,967,16,2024-03-23T02:34:21Z,2024-03-23T02:34:21Z
Ugy2jbA3K-SowLmquVt4AaABAg,@greenbeans9388,"B-Legit, E-40, D-Shot and Suga-T were in a rap group called The Click",624,13,2024-03-23T02:42:27Z,2024-03-23T02:42:27Z
Ugxw6AawF6EOPQ-AlrF4AaABAg,@ryanlauton6268,"Mr Morale was my most played album of 2022. Loved that album not just artistically, but in the general sense of music bops that I replay.",146,0,2024-04-12T03:11:00Z,2024-04-12T03:11:00Z
