comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwhN1dmop8TNRLGvSB4AaABAg,@rapcitylife,Who has the hottest bars 🔥🔥?,178,63,2023-10-06T17:12:53Z,2023-10-06T17:12:53Z
Ugwi7akjLyA-NDSDqcd4AaABAg,@stvnsngh,"Who comes here after kendrick disses j cole and drake?
KDOT is BACK BITCHES!",311,7,2024-03-23T01:04:43Z,2024-03-23T01:04:43Z
UgwPiuZAPZGhPV2vTFx4AaABAg,@13randonr.93,Nah Drake was tripping asking Cole to do this…that man blanked out and lost his entire fuckin mind. He was being real nice to Drake…,62,0,2023-10-18T09:50:24Z,2023-10-18T09:50:24Z
UgxP-xFFslvoScdvCLx4AaABAg,@TraderJones-01,After writing this verse Cole’s pen and paper caught on fire 🫡,210,2,2023-10-17T18:42:44Z,2023-10-17T18:42:44Z
Ugw5VYqmxoUqtVObNc94AaABAg,@jaybangerang4618,Drake is literally introducing COLE as the GOAT .. literally.. an Cole is simply clarifying it! 😅,106,3,2023-11-02T19:38:46Z,2023-11-02T19:38:46Z
UgweQA2b6IXEzYQGGxh4AaABAg,@wbrodie55,"How have we not had Cole and Eminem on the same track? Drake ain't got the skillset to match Cole. This was a ""Renegade"" moment frfr😂😂",47,1,2023-11-05T03:36:42Z,2023-11-05T03:36:42Z
Ugy04VQiTGBL1exBGM54AaABAg,@katec5763,"With hindsight, big as the Super Bowl was a poor choice of words",44,0,2025-02-10T01:43:48Z,2025-02-10T01:43:48Z
UgyF7L7eoQRNEt9DlXx4AaABAg,@krystalpennybowen5609,Respect to J Cole!,40,0,2023-11-16T19:54:10Z,2023-11-16T19:54:10Z
UgzNLPPcAb_8QaxQq3t4AaABAg,@I_am_shisui,We need a solo version by J Cole,263,5,2023-10-17T18:50:10Z,2023-10-17T18:50:10Z
UgyIa3ug28HWR4MZT5p4AaABAg,@antifranticc,Mannnnn!!!!! Cole kills every feature he is in🔥🔥🔥🔥,84,1,2023-11-03T19:16:38Z,2023-11-03T19:16:38Z
UgyVM_SBmREBB7PmDMd4AaABAg,@TweakXFit,Drakes last verse got me glued to my screen reading the lyrics and laughing 😂,275,13,2023-11-16T20:26:44Z,2023-11-16T20:26:44Z
UgyNa3NtMfJlqPEJzSJ4AaABAg,@DavettaGriffin,Who here during the Kendrick and Drake diss,239,14,2024-05-06T04:18:49Z,2024-05-06T04:18:49Z
Ugztmg2B7119pUIR5ct4AaABAg,@Chaunceyadams230,"It's J Cole 🐐.. No disrespect to no one else,  but it's J Cole hands down. & I been saying this for yrs. He murdered this shish",415,21,2023-10-19T01:46:00Z,2023-10-19T01:46:00Z
UgzJ6TyiCjbHmQjVvXJ4AaABAg,@nine3seven,1:55 its “hate how the GAME got away from the BARS like a prison escape”,7,0,2023-10-25T22:44:20Z,2023-10-25T22:44:20Z
UgydJKV0vs7z-QPVrCt4AaABAg,@brandonking8975,J. COLE FUCKING SNAPPEDDDDDDDDDD OMGGGGG,23,0,2023-10-15T01:16:47Z,2023-10-15T01:16:47Z
UgyUU75HOjp4E6veucB4AaABAg,@buster53546,Drakes on some new shit and it's a Cole world,17,0,2023-10-17T13:49:38Z,2023-10-17T13:49:38Z
UgyUbpHO4vu5Q8sCFWZ4AaABAg,@Allibaba930,BIG AS THE WHAT? Big as the SUPERBOWL. KENDRICK SUPERBOWL 2025,9,0,2024-09-08T17:22:48Z,2024-09-08T17:22:48Z
UgwZ-kPoFpiH3p0ct714AaABAg,@marcussmith2873,"""Big as the super bowl"" gonna hit different this February bruh lmao Kendrick is about to shut it down!!!!",38,4,2024-09-11T02:41:31Z,2024-09-11T02:41:31Z
UgwPJWDxsVYe26nd2TR4AaABAg,@incognitospaghet1452,Huh i wonder who played at the super bowl recently,9,0,2025-02-15T00:31:54Z,2025-02-15T00:31:54Z
UgxhHrT4WGyvZQo4WzV4AaABAg,@JuniorScott-s1u,"J cole killed this,he was on 🔥",4,0,2024-01-06T13:17:28Z,2024-01-06T13:17:46Z
UgycEzc79lNey8MK-El4AaABAg,@FCGeek-5n5,Hell rained after this 🔥🔥🔥🔥🔥🤐,1,0,2026-08-10T15:31:59Z,2026-08-10T15:31:59Z
UgzsEXUJFYjvIO3y4Gd4AaABAg,@RFMRecordings,THE BEGINNING OF THE END 😂,13,1,2025-02-19T00:43:10Z,2025-02-19T00:43:10Z
UgxSY2HradCaNCamcTV4AaABAg,@HeBruise,That IT line was crazy!!!,35,2,2023-11-07T21:53:50Z,2023-11-07T21:53:50Z
UgxXiBG_tcaWz7qMLyd4AaABAg,@rodsalc9266,"Bruh, J Cole was the one who mentioned Kendrick and Drake's career is the one that took the hit 🤣🤣🤣🤣",126,11,2024-05-18T18:43:49Z,2024-05-18T18:43:49Z
UgzoVl41JSHjIYLvPcl4AaABAg,@RoseVeteran,"Cole killed this shit!! Drake keep elevating too!
🔥",156,6,2023-10-14T23:07:03Z,2023-10-14T23:07:03Z
UgzQMqsUhdY7wW0LFXx4AaABAg,@mr.boostang2064,"Woah, I don't usually listen to rap or hip hop but this one is going to my workout play list",51,3,2023-11-10T15:08:29Z,2023-11-10T15:08:29Z
Ugy-A0ivGlBstdFMdm54AaABAg,@Bran-don321,Yo that Demon Deacon line. Shout out to Wake Forest 🔥,10,0,2023-10-25T17:58:30Z,2023-10-25T17:58:30Z
UgwP94eos_9A_E82G3d4AaABAg,@dubeydagreyt2504,Butterfly effect is crazy with this one,4,0,2025-03-21T20:38:55Z,2025-03-21T20:38:55Z
UgzajVbowZP1YwuZTXh4AaABAg,@Sgt.Hairynutts,J Cole AND The Rap God need to link up,2,0,2023-11-23T11:02:03Z,2023-11-23T11:02:03Z
Ugx-vUM6B7LZaQ6xw0F4AaABAg,@lizchambwe1781,Drake and J Cole are nice,3,0,2024-01-13T15:26:20Z,2024-01-13T15:26:20Z
UgxXew3c_3GFt9viJVV4AaABAg,@rcarpenteriii,Kendrick announced as Super Bowl 59 performer 🥴,4,0,2024-09-09T03:23:43Z,2024-09-09T03:23:43Z
