comment_id,author,text,like_count,reply_count,published_at,updated_at
Ugwo9Nx2p2I1CABy12F4AaABAg,@allrapnation,Kendrick Lamar is doubling down by dropping another diss track 👀🔥,14496,280,2024-05-03T13:35:42Z,2024-05-03T13:35:42Z
UgzsJO-xNdzRJ1dk-HJ4AaABAg,@TyLethal,I still visit this tombstone sometimes,759,22,2026-08-02T23:58:22Z,2026-08-02T23:58:22Z
UgwU6usXUj21WrN8axZ4AaABAg,@Rickenewyork,Sucks it’ll never be on streaming platforms. I’d play this song alllllll the time,62,0,2026-09-04T02:09:43Z,2026-09-04T02:09:43Z
Ugy7vcddAcxFFmidcnJ4AaABAg,@mustaddseed,"Here after finding out this a reference to ""100"" video shoot.",479,29,2026-08-07T08:26:42Z,2026-08-07T08:26:42Z
UgyKgfSjy7YdEhm4SWB4AaABAg,@thatnerdnyx,Unironically my favorite song from the beef,2481,43,2026-01-29T02:56:01Z,2026-01-29T02:56:01Z
UgzCIXg5_5mNBNw8wwB4AaABAg,@TheZeroDestroyer,"Drake: lol...your short

Kendrick: God forgive me for what I'm about to do.",12577,43,2024-05-18T13:01:22Z,2024-05-18T13:01:22Z
UgxLHk6lhHz0gXngqzl4AaABAg,@wudahman1,6/16/2026 I was here 🫡✌🏾💯🤣🤣🤣,152,0,2026-06-17T02:37:12Z,2026-06-17T02:37:12Z
Ugzsq0_nce3SBuYTFtZ4AaABAg,@noahp.531,the fact that kendrick started PRAYING FOR FORGIVENESS for what he was going to do with his gift in the middle of the song is crazy 😭,7096,38,2024-06-04T09:07:56Z,2025-02-22T00:00:30Z
UgwAduygErTwlm2jGHF4AaABAg,@bptnmrphy3991,This should be a warning to everyone who likes to play both sides,62,0,2026-08-08T20:30:18Z,2026-08-08T20:30:18Z
Ugw_Hkrz0S5qrZyBUGN4AaABAg,@statikverse,You know exactly why I am here.,1830,43,2026-05-15T13:09:04Z,2026-05-15T13:09:04Z
UgwT-od9Nl3T7xsjJ3h4AaABAg,@9NinoKe,Who here for the anniversary,1826,21,2026-05-03T12:29:23Z,2026-05-03T12:29:23Z
Ugxj5IoXlKVjAA3PB0J4AaABAg,@majorknight4158,J Cole walking downtown wondering what ice cream flavor he want,20836,103,2024-05-03T15:42:00Z,2024-05-03T15:42:00Z
Ugz4gGTB_creRvaTGPh4AaABAg,@TsumeAlphaWolf,Happy 2 year anniversary everyone!!!,397,1,2026-05-03T12:22:25Z,2026-05-03T12:22:25Z
UgyugKyrPWeSHCCiBYJ4AaABAg,@brentonbogan7326,Just stopping by again to change the flowers on the grave…,9236,177,2025-04-05T06:19:46Z,2025-04-05T06:19:46Z
Ugz2H8ZSwYgHqNiJ7PZ4AaABAg,@93ohgee,3 albums of Drake released & i needed to come back here for a cleansing,1282,24,2026-05-15T12:21:47Z,2026-05-15T12:21:47Z
UgxYNUUcTsAyCnzRr-p4AaABAg,@slipperybiscuits4864,J Cole walking outside enjoying the birds and sunshine rn,43548,413,2024-05-03T14:03:33Z,2024-05-03T14:03:33Z
UgzZZrUlWD384V578Tx4AaABAg,@MDotBeats,Here after the Lawsuit dismissal - this song aged like fine wine,1936,14,2025-10-13T17:40:16Z,2025-10-14T02:14:28Z
UgwEYvA47fafpBpJGqt4AaABAg,@quintezgarcia9439,"Like that- Call out
Euphoria- Warning
616- Sharpening the blade
MTG- Murder
Not Like us- Funeral",4746,100,2024-07-08T21:49:13Z,2024-07-08T21:49:13Z
Ugy3iCUu60xB3a02cF14AaABAg,@levz360,This song got overshadowed too quick but its such a smooth killer,7598,44,2024-05-06T19:51:25Z,2024-05-06T19:51:25Z
UgzX1ap0RFrmMmYvHPB4AaABAg,@許維哲-r9d,at this point I'm just gon thank Drake that I can hear Kendrick's new music this fast,33423,279,2024-05-03T13:48:53Z,2024-05-03T13:48:53Z
Ugz9UiBbuUX9eqJSrK94AaABAg,@smokescreenFromThe6ix,Had to drop back in.  It really does get spooky in October.,719,0,2025-10-14T15:14:59Z,2025-10-14T15:14:59Z
UgyQJCDaOJBd9evwBpF4AaABAg,@caseyjohnson1862,“Somebody lying I can see the vibes on AK even he compromised let’s peel the layers back” has a whole new story 😂,3660,27,2025-01-28T04:04:11Z,2025-01-28T04:04:11Z
Ugyyex_bp0wmkxUEme94AaABAg,@bad_teammates,"""I live in circadian rhythms of a shooting star, the mannerisms of Raphael, I can heal and give you art"" what kind of man puts this poetry in a diss track???",9915,130,2024-05-11T14:36:54Z,2024-05-11T14:36:54Z
UgwlASkWMhNYgLdijwt4AaABAg,@anathinorexe8048,Cole at his crib tryna figure out what movie he'll watch with his family tonight.,6376,22,2024-05-03T17:00:14Z,2024-05-03T17:00:14Z
Ugx84jiBM450Ty9Qc_94AaABAg,@LimusTG,The sleeper hit of the battle.,121,0,2026-04-15T00:39:54Z,2026-04-15T00:39:54Z
UgwXbWQ4CTJsOKMsuut4AaABAg,@kerchstval8916,This why your parents tell you leave them quiet kids alone 😂😂😂,33821,286,2024-05-03T14:23:00Z,2024-05-03T14:23:00Z
Ugzz1_tNib9Xm-wGw7V4AaABAg,@ryanfetsch5474,“I live in circadian rhythms of a shooting star” as the synths go off in the background is such an ethereal feeling i fucking love it man ill never stop coming back to this,1007,7,2024-11-25T20:33:57Z,2024-11-25T20:33:57Z
UgyIpx4LVtF9Hl_VsE14AaABAg,@foodman561,The grave tone in “have you ever thought that OVO is working for me?” gives me chills every damn time,704,1,2025-02-16T04:44:28Z,2025-02-16T04:44:28Z
Ugyq45XNf6sfffk2wQt4AaABAg,@augustjackson-3970,Most important diss in this whole feud in my opinion.,26,0,2026-07-25T19:45:49Z,2026-07-25T19:45:49Z
UgyuUwKU6il84G905dh4AaABAg,@explodingporpise,Has no one stopped to consider the societal ramifications of letting Kendrick taste human blood,15633,107,2024-05-03T14:47:17Z,2024-05-03T14:47:36Z
Ugyr7UMTcrqSyXo0C514AaABAg,@NathanielBrown-q4h,"Easily the most underrated song in the beef. Almost no one has talked about it after the beef has finished, but I think it deserves a lot more recognition.",7172,119,2024-11-15T21:17:21Z,2024-11-15T21:17:21Z
UgxRY2xpZZDfEIpFcVd4AaABAg,@damarcusking9014,I've never heard Drake rap this good on none of his songs.,55,0,2025-12-15T03:10:55Z,2025-12-15T03:10:55Z
UgyFO3ITczYM8eN25Z14AaABAg,@Killmonger88888,If we being honest this aged to well 🍷,100,0,2026-03-17T08:21:18Z,2026-03-17T08:21:18Z
UgyI2xRGCJ8-BVmfOQh4AaABAg,@darnellbarnes1756,I’m still here for this,1609,47,2026-03-06T01:45:23Z,2026-03-06T01:45:23Z
Ugwq6OuSFik4H6walbV4AaABAg,@kayjami1996,the forgotten track....the assassin's prayer,9899,52,2024-06-02T11:29:40Z,2024-06-02T11:29:40Z
UgwCxjn8pfzN4VdO9pl4AaABAg,@Djang0Beats,Yet another song for Adonis to play when he get grounded,11277,66,2024-05-03T17:22:46Z,2024-05-03T17:22:46Z
UgxE5jAKrEIObw3bmDt4AaABAg,@Bolllocks,Regularly scheduled check in.,206,1,2026-03-26T18:31:36Z,2026-03-26T18:31:36Z
UgysAjXNhx_YgnuYZHJ4AaABAg,@jewelxxett,hate that this is the most ignored out of all the disses it’s so hard,4521,67,2024-07-01T02:16:44Z,2024-07-03T01:21:21Z
Ugxwm770ypEL4wEsXpV4AaABAg,@jamesbas1985,"J. Cole just flip the cool side of the pillow, sleeping peacefully 😅😅",5427,32,2024-05-03T14:16:25Z,2024-05-03T14:16:25Z
Ugx-bn7_YfmvAJTDNIh4AaABAg,@Juuuuulio,This is the most sonically pleasing diss record i’ve ever heard tbh,4966,34,2024-05-06T06:56:29Z,2024-05-06T06:56:29Z
UgxOIFwuzBIr7uMng014AaABAg,@fncm3421,This is when the battle ended .,17,0,2026-07-19T12:09:16Z,2026-07-19T12:09:16Z
UgwbbW-ZvTL7rxR8jMt4AaABAg,@Drixan,"J cole waking up this morning saying ""See, This is why I did what i did""",10807,189,2024-05-03T13:46:21Z,2024-05-03T13:46:21Z
UgwZ7Ckd-fNSLIzAzTV4AaABAg,@a.r.t93,"""there's opportunity when living with loss,
I discover myself when I fall short.""
A life gem of a line In the midst of a Rap battle is a very Kendrick thing to do.",192,0,2025-07-26T14:33:16Z,2025-07-26T14:33:16Z
Ugz4t498WM9ftz72bwx4AaABAg,@mormagik_gaming,It's about to be 2 years this feels like it was just last year 😭 time flies like wtf,292,6,2026-01-07T15:30:14Z,2026-01-07T15:30:14Z
UgxOaGF-90yt2iu_XVp4AaABAg,@ahmed3thousand,"“Can’t toosie slide up outta this one, it’s just gone resurface. Every dog gotta have its day now live in your purpose”🔥🔥🔥",13,0,2026-07-26T07:14:51Z,2026-07-26T07:14:51Z
UgyzAix0NhIu52BH2ZV4AaABAg,@joeyaustin6906,This was so slept on because it’s not on streaming services. I’m back here in 2026. Masterpiece !,63,0,2026-02-12T16:35:35Z,2026-02-12T16:35:35Z
