comment_id,author,text,like_count,reply_count,published_at,updated_at
UgykboYyLnEV3l3sgwV4AaABAg,@MajorPrice-y7j,Crazy to see this and bro had a OVO hoodie on 😭😭,35,1,2026-06-20T04:00:30Z,2026-06-20T04:00:30Z
UgzUrW-3SgdVN6yQI7B4AaABAg,@hailmendoza6106,"""Metro, shut up and make some drums"" IM DEAD 🤣🤣",5261,42,2024-04-14T01:25:38Z,2024-04-14T01:25:38Z
UgyQ734xlEJwKukekwx4AaABAg,@KxngKUDA,"As the biggest J cole fan, this fall from grace was a plummet from pluto. Shit hurts. Can't believe i gotta depend on Drake to fan the flames now smh.",4870,141,2024-04-14T00:03:45Z,2024-04-14T00:03:45Z
UgwwkdvQLGSmpX4bJh54AaABAg,@jameshughes3643,“On top of the mountain so you tight now. To talk to yo ass I had to hike down” was a lowkey crazy bar.,1509,13,2024-04-16T05:19:21Z,2024-04-16T05:19:21Z
UgxSfgOkvMmp_KrR5R94AaABAg,@GalaxyForumStudios,Kat Williams wasn’t playin when he said 2024 finna be a movie 🤣,2376,15,2024-04-14T13:18:31Z,2024-04-14T13:18:31Z
Ugw8u3xOg1zKtoHBTLJ4AaABAg,@greg6924,Hip hop is better when there are battles and lyrical wars. It sharpens everyone's pen game.,2351,27,2024-04-14T02:01:15Z,2024-04-14T02:01:15Z
UgwqtvyiN9wtFVLafDR4AaABAg,@ydwatt8711,“prince jackson” actually being one of MJ’s sons blew my mind,4093,77,2024-04-14T00:39:20Z,2024-04-14T00:39:20Z
Ugxu6hOfmZuVwDqSzNh4AaABAg,@fujibosco,The genius of Drake's response is he responds to everyone equally meaning he regard Kendrick as just another guy which is a layered disrespect.,1975,30,2024-04-15T16:31:59Z,2024-04-15T16:31:59Z
UgwlPxP98ADNVt0qGmx4AaABAg,@---GOD---,Funniest thing is... how is Metro gonna respond without having to obey Drizzy and make those drums? 🤣🤣😂😂,3727,64,2024-04-14T17:14:14Z,2024-04-14T17:14:14Z
UgwRCmQ6ZNA8_ZiXT4Z4AaABAg,@CollectThaBucks,I just knew that Scru was gonna react to the remastered one. Everyone else was reacting to the older one.,5233,98,2024-04-13T23:51:09Z,2024-04-13T23:51:09Z
UgwBCR70_q7qzVTQL314AaABAg,@Fidjeditz8181,"Drake did what we all wanted cole to do 😭 RIP cole

Edit (post meet the grahams): nvm i get why cole opped out i would have too💀",2368,115,2024-04-13T23:48:27Z,2024-06-19T01:19:37Z
UgxZLgjGZlqt0KYlyEd4AaABAg,@AleaKat,I’m not even a Drake fan but looking back at the whole beef this was his peak performance in the whole thing.,9,0,2026-08-07T16:19:57Z,2026-08-07T16:19:57Z
Ugw23bZdGYKKnvXAXO14AaABAg,@nanananana4198,"The bodyguards like Whitney line is crazy, Kendrick’s wife called Whitney",3627,133,2024-04-14T00:01:28Z,2024-04-14T00:01:28Z
Ugz-7X-8w2yCVON62PN4AaABAg,@Monti.AE.Cristo,"""y'all are making the overdog the underdog for the first time""",1393,12,2024-04-14T08:33:40Z,2024-04-15T03:44:13Z
UgxYtUJew3VDIh7Cjtp4AaABAg,@jff8427,I miss non bias scru 😢,9,0,2026-06-11T13:18:48Z,2026-06-11T13:18:48Z
UgyF3ifEsr3tMB4iJ2V4AaABAg,@whiteslayer-yv8sz,this is when scru liked drake,683,39,2025-08-29T16:16:37Z,2025-08-29T16:16:37Z
Ugzuy7YsJkmIS3hjp3h4AaABAg,@rockodashpr,as a J Cole fan i got goosebumps when drake said idc what cole think dat shit was weak af because i couldn't agree more 🔥🔥🔥😭💯💯💯💯,913,15,2024-04-14T03:49:51Z,2024-04-14T03:49:51Z
UgylqMjO5G9D8SXzOl14AaABAg,@aviator4144,"Win or lose , Drake went straight at it and this earned him mad points",744,32,2024-04-14T01:36:39Z,2024-04-14T01:36:39Z
Ugx1vRd9m8mLtKtlptN4AaABAg,@chevycecil233,I am blown away drake punched back hard. This year for hip hop isn’t boring,415,3,2024-04-14T03:11:16Z,2024-04-14T03:11:16Z
Ugxed_rolzzdcpn-7Ll4AaABAg,@who-tf-is_Sissko,Coming here after watching the 1-year reaction is absolutely hilarious. 😭💀💀,47,0,2025-04-27T21:16:49Z,2025-04-27T21:17:30Z
UgxeK9Fqmk9MNKWR4VV4AaABAg,@tadi.,If Drake loses thats ok. At least he’s living by the sword and dying by the sword. Thats Noble,777,39,2024-04-14T06:44:30Z,2024-04-14T06:44:30Z
