comment_id,author,text,like_count,reply_count,published_at,updated_at
UgxuyMCqH-31JHfOPpN4AaABAg,@vibemusic.,Where is everyone listening from? 🌍,774,482,2024-03-24T13:25:51Z,2024-03-24T13:25:51Z
UgwNBWU6mQY5tn4ivVh4AaABAg,@HarmonicVector,Future had no idea what the fuck he helped start.,1933,19,2024-05-11T09:31:14Z,2024-05-11T09:31:14Z
UgwhRvoXGUlNJA1BBe14AaABAg,@Ezra-jh7ds,The beat goes so hard it has its own verse😮,980,9,2024-03-31T19:54:09Z,2024-03-31T19:54:09Z
UgyVdILX5HteX1TmXo94AaABAg,@fudgenugget2690,KENDRICK SNAPPED🔥🔥🔥,212,0,2024-03-26T07:11:46Z,2024-03-26T07:11:46Z
Ugz_dnac303ObsWEg594AaABAg,@5faces428,"Knowing what we know now..this was absolutely a warning shot.
Bet aubrey wish he apologized like Cole😂🤣",505,6,2024-05-09T01:57:22Z,2024-05-09T01:57:22Z
Ugyj2k1KUdlpSauwO4h4AaABAg,@TheRealAlmostEvil333,"THATS K WITH ALL THESE 9s, HE GONNA SEE PET CEMETERY 🔥 🗣️🔥🗣️🔥🗣️🔥",856,6,2024-03-25T13:49:22Z,2024-03-25T13:49:22Z
UgwO4phwq-0oq2GDNFZ4AaABAg,@DKUBI088,The part that goes “he was once a thug from around the way” is heat🔥🔥🔥🔥🔥,467,8,2024-03-27T00:48:56Z,2024-03-27T00:48:56Z
UgxDl5o9AC2aYmotvsx4AaABAg,@MfnGhost,I swear I missed this type of vibe right here... Kendrick will NOT be played with!!!!,607,9,2024-03-25T11:02:57Z,2024-03-25T11:02:57Z
UgwtrD2BY2PoK4_uc2h4AaABAg,@Newman10steps,"Bruh this shit diabolical on many different levels, but I keep coming back to how crazy this beat is smh gotta be the hardest beat I ever heard used for a diss.

EDIT: glad to see a lot of y’all agree. But now that time has passed, Not Like Us go just as hard if not harder lol",1746,43,2024-03-25T14:03:28Z,2024-06-04T16:11:32Z
UgzQb-V84TSIZDq0UVJ4AaABAg,@TheDiscordDark,2:34 the part you were looking for,22,1,2025-01-25T02:02:00Z,2025-01-25T02:02:00Z
Ugz-EN4Cdv0Myij8wNd4AaABAg,@tWISTYOxzzz,"Why did he diss the big 3 , what did Bleach, One Piece and Naruto do to him",4287,250,2024-05-01T13:27:39Z,2024-05-01T13:27:39Z
Ugwe5zriTIIKKPpxuht4AaABAg,@millynalwanga8418,He was once a thug from around the waaaay 😊,38,0,2024-04-14T13:15:36Z,2024-04-14T13:15:36Z
UgxGCqvKUSK0qMUkjX94AaABAg,@daafitko,"What i love about this song is the calm future contrasted with the very energetic Kendrick.

Makes it a real pleasure to listen to",73,0,2024-07-27T00:34:00Z,2024-07-27T00:34:00Z
Ugyzcuprzjg7ouHiQEF4AaABAg,@Infexum,For everyone that started boppin they head remembering this beat from the 80's.. I salute you!,244,3,2024-03-26T08:06:39Z,2024-03-26T08:06:39Z
UgylJ0hQySSk0L_NoNV4AaABAg,@Mejia.Gideon,This song blew my speaker in my car,494,7,2024-03-24T22:28:39Z,2024-03-24T22:28:39Z
UgzYPjFKN45FRRUoO9l4AaABAg,@MsBaldDu,This is what the year 2024 needed!!! 🔥🔥🔥🔥🔥,131,0,2024-03-25T14:41:23Z,2024-03-25T14:41:23Z
UgzcvPao_fO336YQRVF4AaABAg,@GaryDaGunna-lg5tm,I took this time to learn Kendricks WHOLE verse,18,0,2024-04-11T15:44:44Z,2024-04-11T15:44:44Z
UgwWMjPgKi8SArvKZXp4AaABAg,@Dumbfun77,3:16 hit us with yo free style,30,0,2024-04-02T18:54:13Z,2024-04-02T18:54:13Z
UgzDlmnk06U2hU6xWuN4AaABAg,@KsLoveBoat,Kendrick had some animosity behind them bars hit them Ts wayyy to hard!😊,40,0,2024-03-27T00:09:40Z,2024-03-27T00:09:40Z
Ugzd46wS53CLWdicyA94AaABAg,@jakegrenard682,Kendrick snapped as usual.,1747,37,2024-03-24T22:35:05Z,2024-03-24T22:35:05Z
Ugzfvghwmow0i-W5eeB4AaABAg,@aprika-1990,Kendrick on that demon time bru 😭😭🙏🙏,31,0,2024-05-06T00:50:33Z,2024-05-06T00:50:33Z
UgyolzOE8oGNBUQoD9V4AaABAg,@freereckon7926,Ngl they should have a music video for this,30,1,2024-05-13T22:03:55Z,2024-05-22T16:23:59Z
UgwL1Lt-cbBXPcDV6PF4AaABAg,@SomethingXOXO6547,I just know Metro Boomin will always drop Bangers!!!!,26,0,2024-05-13T06:51:25Z,2024-05-13T06:51:25Z
UgzuK9s15JOPnphPjC54AaABAg,@MicahMcLemore-q5t,1:04 is the reason it took me 20 mins to find this bcs I only remembered this part,4,0,2025-04-16T02:29:25Z,2025-04-16T02:29:25Z
UgxbnLtBoNyPxkfx4Vp4AaABAg,@dakotacseh4795,3 6 mafia sample goes harddddd,10,0,2024-04-15T21:47:33Z,2024-04-15T21:47:33Z
Ugz83dXkKkDDQyCJRu54AaABAg,@sophiaknowshowto,They have some of the most killer verses I've heard in a while. That's what you get when Kendrick Lamar forms a legion and they all spit out what needs to be spit out.,28,0,2024-05-07T14:46:07Z,2024-05-07T14:46:07Z
UgzNs4dB121EF0W9i0V4AaABAg,@JopaXStudios,Kendrick popped off-Not expecting this after Mr. Moral but hey even Jesus flipped a table,199,4,2024-03-25T02:00:09Z,2024-03-25T02:00:09Z
UgzwiknkzrmCShOB2e14AaABAg,@ProfusePixel,"Kendrick reminds me a lot of old Eminem when it comes to disses yet they sound different, it’s mainly the anger they have in their voices when they’re burning a mf alive lmao",10,0,2024-05-25T21:30:34Z,2024-05-25T21:30:34Z
Ugx4MntRmDe2W82_-R94AaABAg,@FullMex,metro boomin went crazy on this though,13,0,2024-05-08T01:46:59Z,2024-05-08T01:46:59Z
UgxpEYMBt8B6cLQQpCt4AaABAg,@icyfreezexd9,"D-O-T the money, power, respect🔥",84,7,2024-04-09T15:36:50Z,2024-04-09T15:36:50Z
Ugx4tdJWY2d3n1cRFM54AaABAg,@TheArcaneEcho,👀 Kendrick just dropped an RKO outta nowhere 🥶,51,3,2024-03-28T22:06:49Z,2024-03-28T22:06:49Z
UgzXOHProLm7r2u4B4t4AaABAg,@wikandakitana304,This shit hard af 🔥 k dot snapped. Rip Cole drizzy,44,6,2024-03-25T20:00:48Z,2024-03-25T20:00:48Z
UgyhN6KANfjJp-gsJFl4AaABAg,@Prettyvon_4268,I've been listening to this album since I downloaded it on Spotify!!! In lovvvvvvvvvveeeeee!!!!!!,45,0,2024-03-24T13:57:15Z,2024-03-24T13:57:15Z
UgzybIme_vLgvvpwQH54AaABAg,@factsorus,Kdot came fully armed,30,0,2024-05-11T03:13:43Z,2024-05-11T03:13:43Z
UgwQ2iE6_Qi7dNthkcN4AaABAg,@NitishKumar-ox7lj,The kendrick verse 🔥,6,0,2024-04-10T05:22:08Z,2024-04-10T05:22:08Z
UgyzP7XjNtFoz24SR7V4AaABAg,@laydlike2468,"If your face ain’t squinched & your head ain’t bobbin … something’s wrong!!!! Kendrick brought straight heat, per usual",11,0,2024-03-26T02:44:26Z,2024-03-26T02:44:26Z
UgzhEXOoRmWQA725i6N4AaABAg,@LewDoggy88,"36 mafia was so ahead of they time , they birthed this whole generations vibe to the point where they can just plug and play their beats mix it a little bit and it’s a mainstream banger shout out to future and Kendrick they killed this",130,15,2024-03-25T04:31:05Z,2024-03-25T04:31:05Z
UgzOIJu4goswvPnjHv14AaABAg,@gerobysalinas749,Damn KL is the GOAT on this 1,7,0,2024-04-13T13:41:18Z,2024-04-13T13:41:18Z
UgxRpq8MnOYWBlR_pUp4AaABAg,@InkyTaffy,Kendrick is in his villain era,19,0,2024-05-14T14:50:18Z,2024-05-14T14:50:18Z
UgyEqOU_589RWDBHin54AaABAg,@Angelus-hh6mw,Kendrick with that End boss  energy,33,0,2024-05-03T06:01:25Z,2024-05-03T06:01:25Z
UgzrAr1hq-xbEcWf0AF4AaABAg,@hamzahalhadrab4200,2:38 - 2:53 this part is lit,66,0,2024-05-10T13:06:32Z,2024-05-10T13:07:33Z
UgwBRh1WysTKSese8f94AaABAg,@breneebae8003,Future always sounds so good to me n Kendrick gooootfoff,24,0,2024-03-25T04:23:56Z,2024-03-25T04:23:56Z
UgyRFoJ-AcCXHWLPR8x4AaABAg,@Trinidad679,Although Future isn't my favorite rapper this is a banger.,3,0,2024-07-08T03:01:07Z,2024-07-08T03:01:07Z
UgyF6wze25tcGylQuO94AaABAg,@RageHaven1,Metro going stupid on the beat,9,0,2024-03-26T21:16:26Z,2024-03-26T21:16:26Z
