comment_id,author,text,like_count,reply_count,published_at,updated_at
UgxJkTTP-FBU3NGIhrZ4AaABAg,@VibesOnlyMusic,Where's everyone listening from!? 🌎💜,10069,933,2024-04-30T17:02:56Z,2024-04-30T17:02:56Z
UgywWXh0ZWSo7wfm6Qx4AaABAg,@jacobeyjacobs7479,This song aged like fine wine 🍷,339,4,2026-05-17T04:00:37Z,2026-05-17T04:00:37Z
Ugw8o_-fUfcInh1G2G14AaABAg,@davidwhite7042,"“I like drake with the melodies
I don’t like drake when he act tough”
I really felt that one 😭😭😭",13144,68,2024-05-01T16:20:53Z,2024-05-01T16:20:53Z
Ugywa9HhqJ16ROtt-pt4AaABAg,@numbskulI,"""And notice, I said 'WE', it's not just ME, I'm what the culture feelin""🔥🔥🔥🫣",4389,11,2024-05-04T17:35:02Z,2024-05-04T17:35:02Z
UgwbIrwQhC42-66xt5J4AaABAg,@eanjermaine,"""They not like us"" is a great song, but this was the hardest diss song",995,14,2025-02-11T01:28:48Z,2025-02-11T01:28:48Z
Ugx-bg4GdfRhNdq2ZSV4AaABAg,@JustbeingCed,Never mess with a rapper that uses his government name.,38327,636,2024-05-05T02:24:16Z,2024-05-05T02:24:16Z
UgwYztbjkmYzNroL5qx4AaABAg,@Siah223,"""Dont tell no lie bout me 
And i wont tell truths bout you""
Bro was warned 🤷‍♂️",6483,30,2024-05-13T22:42:37Z,2024-05-13T22:42:37Z
UgxHofZJmjFM_Cj1RlZ4AaABAg,@ia1n673,Kendrick imitating the Toronto accent is unironically the funniest shit ever to me as a Canadian.,8450,93,2024-05-01T19:01:06Z,2024-07-19T14:55:30Z
UgxdM5LSnihK5awmxeB4AaABAg,@Fhsjfdjdjdjd2222,Been a year nd still wondering how tf he got this much energy. Real fire,169,1,2026-01-15T05:21:16Z,2026-01-15T05:21:16Z
UgwRAipDT_9vCAX0qFF4AaABAg,@Maximum4power,"This is the most respectful ""fuck you"" I've ever heard


Edit: i got a lot of likes under a rap video. thanks guys",2770,11,2024-05-11T19:33:00Z,2024-05-22T15:01:25Z
UgzrwnGccQ1ynhm_bEN4AaABAg,@rajw1nd3r00,Drake firing 27 ghostwriters and signing 30 new ghostwriters,11874,134,2024-05-02T07:48:16Z,2024-05-02T07:48:16Z
UgwMnaV15tnFgcwjUSN4AaABAg,@marvinlynch1305,"""I got a son to raise, you 'ont know nuthin' 'bout that"" 😂",1046,8,2024-05-03T14:45:41Z,2024-05-03T14:45:41Z
UgxmjAqzsEZJgZgZb7F4AaABAg,@jasonginessestemmet9661,Drake's definitely gonna sue us for listening this again.,823,11,2024-11-26T20:46:53Z,2024-11-26T20:46:53Z
Ugx2e1PKoHUxj6ZV9Zl4AaABAg,@codywithrow,"Kendrick rapping like he’s from the multiverse, killing Drake on different dimensions",4482,37,2024-05-02T22:38:09Z,2024-05-02T22:38:50Z
Ugw2KsrwqAp19Fht6BJ4AaABAg,@UberCruiserLyftDriver-kv5ru,"i'm fully convinced that kendrick wrote these diss tracks with a quill 🪶  in one hand and a gun in the
other.",7109,92,2024-05-06T22:34:59Z,2024-05-06T22:34:59Z
