comment_id,author,text,like_count,reply_count,published_at,updated_at
UgwglCxnGKXD9xC5IA94AaABAg,@bugzybullz,"""Nephew"" i died after hearing that drake is a funny guy",56,0,2026-08-14T19:15:26Z,2026-08-14T19:15:26Z
UgzJlEJzlyS11Hj9fm94AaABAg,@3jarone,It's pretty great taunt/diss song. This has to be the best hip-hop battle of all-time.,52,0,2026-08-14T23:18:53Z,2026-08-14T23:18:53Z
Ugxt2Cq7x6dA6t8NrO94AaABAg,@tron3336,You lying to yourself if you think this isnt hard AF,374,42,2026-07-24T14:02:42Z,2026-07-24T14:02:42Z
UgzU7iYbUBFFmOqDYh54AaABAg,@TIsnice3,"Drake actually predicted the angle before
Euphoria dropped",68,3,2026-08-20T03:32:13Z,2026-08-20T03:32:13Z
UgwacEty7cBEkLpv5W54AaABAg,@SteelCityOwl,This shit still go crazy,37,0,2026-08-22T11:15:00Z,2026-08-22T11:15:00Z
UgxBXcNyqB-74cBid7N4AaABAg,@dorukegeylmaz,İts been 2 years and beat is still so fire,135,6,2026-07-27T09:48:57Z,2026-07-27T09:48:57Z
UgxR1vlUZkOE1EgXMr14AaABAg,@arkadiusthefirst,The creativity here is wild,2,0,2026-09-10T11:36:58Z,2026-09-10T11:36:58Z
UgyBRK3_1r9ULz5C3tB4AaABAg,@zandygevesa9229,You gotta give it to Drake for Writing Pac and Snoop verse flowing like them,7,1,2026-09-04T15:50:10Z,2026-09-04T15:50:10Z
Ugw-8AuE2fH6jXFsVI14AaABAg,@Neutralmentality,Drake made AI 2pac say “talk about him liking young girls” and kdot did just that lmao,33,3,2026-08-20T19:02:30Z,2026-08-20T19:02:30Z
UgzM5dVk2DU6RtUL0yd4AaABAg,@ShadowHeart-l4x,I don’t know why he didn’t just stick to AI 2pac the whole time.,34,2,2026-08-04T18:33:46Z,2026-08-04T18:33:46Z
UgwIv10c8TDcgi61AqJ4AaABAg,@davisross4763,Drake just wrote 3 different verses in 3 different styles. Best diss in this beef,50,5,2026-08-09T22:33:09Z,2026-08-09T22:33:09Z
Ugwsgz2ZGqoMxMVUHZl4AaABAg,@Ayoodynasty,I want remind everyone that KENDRICK ran to the tupac estate to get this taken down,52,19,2026-08-18T13:31:23Z,2026-08-18T13:31:23Z
UgwOJ9cTQXzrJeYpCCd4AaABAg,@ImJusSha,Underrated,67,11,2026-05-25T00:22:28Z,2026-05-25T00:22:28Z
UgxUABVPniF4YaosBZJ4AaABAg,@try-e6d,"Drake is hilarious! for me, the beef was over here !! lol",3,0,2026-09-04T06:23:57Z,2026-09-04T06:23:57Z
Ugztur5u2I03UkZtSn14AaABAg,@SkywalkerG1o,Forbidden Jutsu,11,1,2026-08-14T06:08:41Z,2026-08-14T06:08:41Z
UgxU9sxtTzRwRtxvHeB4AaABAg,@LuthandoLanga-c5u,This is so tufffffffff😭✨️,6,0,2026-08-18T14:00:24Z,2026-08-18T14:00:24Z
UgzKNV1c_JrFiHXhkbl4AaABAg,@chrislynch2008,This probably the hardest diss track out the entire beef. The pure disrespect and even cadence within it. Top tier. Argue with ya mother,58,4,2026-07-30T01:00:26Z,2026-07-30T01:00:26Z
Ugwe9seeqnxkkB38w-V4AaABAg,@mugiwara2734,I love this track man. It was so hard,3,0,2026-08-17T05:53:17Z,2026-08-17T05:53:17Z
UgyogkZNEFgMGxgQ7LV4AaABAg,@TheMafiosi12345,"Man, this was the time to be alive, gotta tell my kids bout that one day.",17,0,2026-08-10T08:16:41Z,2026-08-10T08:16:41Z
Ugw2QSvQ_3lSrtbLm6x4AaABAg,@iblameJatzq,this shit still diabolical AF 😭,2,0,2026-08-31T15:02:29Z,2026-08-31T15:02:29Z
Ugz2zTcxeJ7knTZunqp4AaABAg,@BloodyMarlon1,“An hour or two” is peak,1,0,2026-09-02T07:50:31Z,2026-09-02T07:50:31Z
UgyJv3NrK8qdWkrogUV4AaABAg,@weglobemusic,Funny this song is why I fell in love with Drake.,1,0,2026-09-05T15:53:38Z,2026-09-05T15:53:38Z
UgzKH4CLFDMpJhvG0yp4AaABAg,@DarkClouds-v8,"As a Kendrick Stan, this was a dope angle honestly.",0,0,2026-09-06T20:02:16Z,2026-09-06T20:02:16Z
UgweSAsDvsJIehJ0u2J4AaABAg,@Cooldee-b6n,Nah the Dre beat so fire lol,2,0,2026-08-31T04:20:43Z,2026-08-31T04:20:43Z
UgxZycUtwsGT--D-asd4AaABAg,@natejanisse5745,This aged incredibly,0,0,2026-09-15T22:08:07Z,2026-09-15T22:08:07Z
UgyoiIIZ-JxfpC4Z10V4AaABAg,@Desertbby69,🔥🔥🔥🔥🔥🔥,0,0,2026-09-13T22:59:06Z,2026-09-13T22:59:06Z
Ugw5H88ulzk2exvn4lp4AaABAg,@KevinWilliams-dj1zc,Crazy hearing ppl say dot won yet this song is unique,7,6,2026-08-25T09:20:14Z,2026-08-25T09:20:14Z
UgxLaimmOBU7EpxAogx4AaABAg,@toddbelgarde2483,On the loooooooose 🫡,1,0,2026-08-04T02:38:21Z,2026-08-04T02:38:21Z
Ugy0CmEn-oHz-Io15Zt4AaABAg,@edwinrivas4443,Sounds like nipsey- they roll,4,1,2026-07-30T01:05:46Z,2026-07-30T01:05:46Z
Ugwh7G8t-oxmZxB5p3F4AaABAg,@TheRealTVN,Seems like you writing the game plan on how to lose was funny 😂,3,0,2026-08-15T04:59:24Z,2026-08-15T04:59:24Z
UgyRrnmY6sMjwNfNVbB4AaABAg,@JoeSchmeezy,Won't forget how Kenny sued,0,0,2026-09-16T06:02:10Z,2026-09-16T06:02:10Z
UgwMCezDxQ56jOm7dCB4AaABAg,@3jarone,This is the perfect taunt diss song. It must a lit a 🔥  under Kendrick!,14,3,2026-07-30T04:20:31Z,2026-07-30T04:20:31Z
Ugzu1pW8AGPlW-0rfcB4AaABAg,@Sheridan_archives,Here Aug 31st 2026... this still hard,0,0,2026-08-30T23:14:07Z,2026-08-30T23:14:07Z
UgzqubGnskg2xVGyhYF4AaABAg,@TYP.EWRITER_,It’s funny because you can literally hear drakes voice and flow but with their voices 😭,0,0,2026-09-10T16:01:13Z,2026-09-10T16:01:13Z
Ugybxcsk9p1mOWWjhZB4AaABAg,@TIsnice3,Kendrick said snoop posted Taylor made he prayed it was the edibles lmao boy was sick,1,0,2026-08-20T03:33:24Z,2026-08-20T03:33:24Z
Ugynu2uCrqC1bY9JmTt4AaABAg,@TshwareloMasipa,The heart part 6 beat is fire 🔥,0,0,2026-09-09T14:57:04Z,2026-09-09T14:57:04Z
UgyfY1SCHkqucdtxsC14AaABAg,@tshephomoniatse9888,This was so disrespectful I swear you deserved what not like us did to your career 😂😂😂,41,17,2026-07-31T09:00:50Z,2026-07-31T09:00:50Z
UgzPinQTDkaUsrY7BIp4AaABAg,@JadenGovender666,Here even 3 months after Iceman❤,0,0,2026-08-17T19:19:39Z,2026-08-17T19:19:39Z
Ugwz9AI_b0fJKKgdMnt4AaABAg,@Desertbby69,NEPHEWW!😂😂,0,0,2026-09-13T23:00:31Z,2026-09-13T23:00:31Z
UgzwvwW_UHd0eKIY4rB4AaABAg,@성이름-j3u4j,why is this actually good???,0,0,2026-09-14T03:23:17Z,2026-09-14T03:23:17Z
Ugz6e38kx8IxFq1FfSl4AaABAg,@Seniormando,This shit is stiiiiilll so insane.... Kendrick was totally justified 😂😂😂 lmaooo,2,0,2026-08-08T05:21:44Z,2026-08-08T05:21:44Z
Ugx77a_qxEOQbNBS6Hl4AaABAg,@Mikelbridgesglazer,If u think this is tuff u goon to drake,12,2,2026-08-12T17:44:45Z,2026-08-12T17:44:45Z
UgwBjcDezxcNtQod3Zh4AaABAg,@job8259,"This is so cool. I know, I know... AI is lame. It is, I agree. But come on, he's TROLLING and it's just a voice filter. All written with the voices / characters in mind. It's fun and smart. Which I mean, duh, it's drizzy drake rogers.",8,0,2026-08-05T09:17:52Z,2026-08-05T09:17:52Z
UgyEdDLFXVZAeYppTMt4AaABAg,@brininc7125,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,3,0,2026-05-21T17:50:39Z,2026-05-21T17:50:39Z
UgzmpAGh4J1r3jTe5cV4AaABAg,@romeomeade-ortiz8552,Ive always said Drake won this battle with these song,3,0,2026-08-31T16:33:54Z,2026-08-31T16:33:54Z
UgwHptFI112lRwz2hMx4AaABAg,@ArtificialIntelligenceSound,"Did the Game write this? What's The Game's last name, and where is he from? 👀🤯",0,0,2026-08-11T01:39:13Z,2026-08-11T01:39:13Z
UgwqX4_8NxpfzjMtjF94AaABAg,@TheTealPumas,Gitip,1,0,2026-05-10T20:36:39Z,2026-05-10T20:36:39Z
UgwpZDrVZSeFMs3DVPl4AaABAg,@jazib3113,they still keep deleting this song😂😂that tells you everything about this whole beef,6,1,2026-08-17T01:50:14Z,2026-08-17T01:50:14Z
UgyZoMCEYocN8lLVMzN4AaABAg,@femmefatale97,😂😂😂😂😂😂,5,0,2026-03-25T15:51:51Z,2026-03-25T15:51:51Z
