comment_id,author,text,like_count,reply_count,published_at,updated_at
UgyHew0QFwxKk4mE5zt4AaABAg,@KevinTheGoat-b1o,the song that started a heavenly beef,327,9,2025-08-21T14:47:43Z,2025-08-21T14:47:43Z
UgxKwplGZ5jHYxkdCgh4AaABAg,@rishibadriprasad421,Listening to this in May is like watching Archduke Franz Ferdinand get shot,83,0,2025-01-06T04:24:04Z,2025-01-06T04:24:04Z
UgzQEV2Mnkx6FkOYLmV4AaABAg,@lunirmusic,This may be the biggest butterfly effect in hip hop history 💀,3092,37,2024-05-04T21:32:26Z,2024-05-04T21:32:26Z
UgyA7p1ZkMrLI6rzXzt4AaABAg,@ParisEighty,Big as the Super Bowl is crazy,1193,42,2025-02-09T19:33:33Z,2025-02-09T19:33:33Z
Ugwk0MLvpmj5ncmSKdR4AaABAg,@iHeartManii,2:21 this shit is crazy,59,0,2023-10-07T00:37:23Z,2023-10-07T01:12:46Z
UgxwKSnbXGjxWo0nHe14AaABAg,@ehp4019,"Cole: We the big 3 like we started a league.

Kendrick: And i took that personally

Edit: What a wild fvcken beef. Thx for the likes",1561,31,2024-03-23T12:56:52Z,2024-05-07T21:33:48Z
UgxFt_17LqrG6UfQtKx4AaABAg,@sebwastaken,Beef aside Cole fucking snapped on this beat,99,1,2025-06-21T16:30:27Z,2025-06-21T16:30:27Z
UgwI7735zaL5b_XdAdt4AaABAg,@MaverickZ007,"""Big as the Superbowl""


I took that personally - Kendrick Lamar 2024",60,0,2024-09-08T16:02:58Z,2024-09-08T16:02:58Z
UgxHCxIjUmCSA2xEGEF4AaABAg,@isaacjohnson3436,Sometimes I listen to Cole and all I can do is laugh shake my head and say oh my goodness..... you know the feeling,1238,26,2023-10-07T02:34:19Z,2023-10-07T02:34:19Z
UgyjAyIxTKo5TyoKDD54AaABAg,@cj-s90,"I used to listen to this when I was 63, and now I'm 17. This will forever be a classic.💚",1853,37,2023-10-06T21:20:38Z,2023-10-06T21:20:38Z
Ugx22aSHh3x1u8DH5W14AaABAg,@jeremiahvignali4188,"So can we all agree that if Drake, J Cole, and Kendrick did an album together it would break rap and be GOATED por siempre!?!",2299,114,2023-10-19T02:23:43Z,2023-10-19T02:23:43Z
UgxUWrOCn528rF-gTgx4AaABAg,@Demonmanplays,1:27 “🎵Love when they argue the hardest MC! Is it K-Dot? Is it Aubrey? Or me? We the big 3 like we started a league🎵”🔥,218,7,2024-11-02T01:51:14Z,2024-11-02T01:55:28Z
UgwH7mctHZFgDDshbcJ4AaABAg,@ThatguyHendrix,This is definitely going to my playlist 🔥🔥🔥,338,0,2023-10-06T19:09:09Z,2023-10-06T19:09:09Z
UgzTwxxMcQqbqbE1g_Z4AaABAg,@jwhite5602,Cole definitely had the best verse,32,0,2023-10-10T21:24:47Z,2023-10-10T21:24:47Z
UgzpVnRCqm63_nqa5j94AaABAg,@kcalexander1995,K Dot brought people back to this song,201,1,2024-03-23T18:15:58Z,2024-03-23T18:15:58Z
