comment_id,author,text,like_count,reply_count,published_at,updated_at
UgzRRe-jWHk24WafdQ14AaABAg,@Kanyewestbiggestfan123,Barbecuing a Canadian on July 4th is the definition of patriotic,225913,925,2024-07-05T07:48:51Z,2024-07-05T07:48:51Z
Ugyzq6JQEg2HrVZXBM94AaABAg,@YumaShiraiwa,"the crowd effect on “certified loverboy, certified pedophile” is diabolical 😭😭",84496,170,2024-07-04T23:05:43Z,2024-07-04T23:05:43Z
UgxQwFH_UylB7ojVGax4AaABAg,@AnonPlays-Games,Kendrick dancing with his family while saying family matter is rubbing salt in the wounds.,3723,18,2024-07-05T08:48:55Z,2024-07-05T08:48:55Z
UgzIDaQrq6EUWZ7XXf14AaABAg,@LethaboBambo,I come here every year to change the flowers on drakes grave.,237,9,2026-09-15T19:44:36Z,2026-09-15T19:44:36Z
Ugz2Zojw6WRFCfNKgtF4AaABAg,@wyd_marco4107,HE CALLING DRAKE A COLONIZER ON THE FOURTH OF JULY HE'S COOOOKKEDD 😭😭😭,270796,906,2024-07-04T23:01:59Z,2024-07-04T23:01:59Z
UgxfFspv0PVQrj69mR54AaABAg,@isaacwhyy,bro featured the whole city 😭😭😭,482593,970,2024-07-04T23:07:28Z,2024-07-04T23:07:28Z
UgwTzMiYIv6WwMMQV794AaABAg,@pietrowinter5220,"Kendrick made a diss track, club track, workout track and a personal attack",37457,146,2024-07-06T01:28:36Z,2024-07-06T01:28:36Z
UgxIuAXkpmfSycCn6wV4AaABAg,@Numptaloid,flexing on someone with your happy family is BRUTAL,227657,889,2024-07-06T05:19:44Z,2024-07-06T05:19:44Z
UgzE40uj16yUYYa_70B4AaABAg,@movienerd7448,Kendrick is showing me I've never truly hated someone properly in my life 😂😂,1312,9,2024-07-05T06:46:15Z,2024-07-05T06:46:15Z
UgzKqCjE-wqadXMnRdR4AaABAg,@RyderDaKool,"5 Grammies, A Lawsuit, and a Super Bowl Halftime Show. This song is insane...",33401,197,2025-02-16T05:36:05Z,2025-02-16T05:36:05Z
Ugz8vuWAGHbf-nU4C0x4AaABAg,@Saint_Brosef,"Drakes trying to save his career after this with a dating show like
""See guys? I like adult women too!""- Drake 
Nah bro we didnt forget youre weird 🤣",2513,55,2026-08-12T19:00:50Z,2026-08-12T19:00:50Z
UgzQI_WYjREkWiRB86Z4AaABAg,@skullyyx,Kendrick seems like the type of guy to hold eye contact with you when he’s across the street and disappear when a bus goes by.,1946,27,2025-02-13T00:01:24Z,2025-02-13T00:01:24Z
UgzVxzX_g-BZnBjHkpV4AaABAg,@verdaleonard2728,I'm here for the lawsuit. Need to get the song past a billion👌🏾👻🖊️💪🏾🖤💯,6137,48,2024-11-26T00:19:03Z,2024-12-04T22:19:36Z
UgwrHjSf4uhmgIzVuIV4AaABAg,@flowing2524,The smile at “Say Drake” at the Super Bowl 😭 diabolical,14237,50,2025-02-10T05:14:52Z,2025-02-10T05:14:52Z
Ugzf0lbyUaEt-hFKJKl4AaABAg,@SuperbMadness270,Bro had the rap game in choke hold uniting both sides of gang culture for one song and one stage and one legendary performance that solidifies him as a legend.,46,1,2026-09-07T19:33:42Z,2026-09-07T19:33:42Z
UgxDlfdQrINNJIbkb514AaABAg,@AssetsoverAttention,Imagine a diss track so hard. You have to run to the HR department to complain.😂😂😂😂😂😂😂😂😂,5920,40,2024-11-30T00:22:50Z,2024-11-30T00:22:50Z
